被评价单位名称,,,浙江九洲药业股份有限公司椒江岩头分公司,,,,,
项目名称,,,安全现状评价（危险化学品生产企业）,,,,,
评价主要范围,,,"40t/a 格列齐特、1500t/a 亚氨基二苄（IDB）、60t/a 苯扎贝特、50t/a 普
瑞巴林、120t/a 10-甲氧基亚氨芪等生产项目",,,,,
被评价单位地址,,,浙江省台州市椒江区海门街道滨海支路99号（注册地址）,,,,,
被评价单位联系人,,,洪方亮,,,,联系电话,13819689490
安全评价单位,,,浙江泰鸽安全科技有限公司,,,,联系电话,0571-86786583
原安全生产许可证,,,"（ZJ）WH安许证字〔2021〕-J-1561
许可范围：氢气300Nm3/h（自用，甲醇裂解制）；
年回收：甲苯3200吨、乙醇5950吨、四氢呋喃540吨、乙酸乙酯1410
吨、丙酮1980吨、甲醇1590吨、氯苯1350吨、磷酸1000吨。
有效期：2021年4月10日至2024年4月9日",,,,,
变更事项,,,"1）本次申请延期+变更换证，安全生产许可证变更事项：因普瑞巴林的
加氢工段本次评价时已取消，安全生产许可范围涉及的溶剂乙醇回收量
相应减少175 t/a。
2）过去三年中，因10号楼内格列齐特精制工段取消，原该工段回收的
溶剂乙酸乙酯的回收量相应减少640t/a，已于2023年6月完成换证。",,,,,
本次评价申请许可范围,,,,,,,,
序号,,品名,,,规模（t/a）,危化品序号,,备注
1,,氢气,,,300Nm3/h,1648,,中间产品
2,,磷酸,,,1000,2790,,副产品
3,,甲苯,,,3200,1014,,溶剂回收
4,,乙醇,,,5775,2568,,溶剂回收
5,,四氢呋喃,,,540,2071,,溶剂回收
6,,乙酸乙酯,,,1410,2651,,溶剂回收
7,,丙酮,,,1980,137,,溶剂回收
8,,甲醇,,,1590,1022,,溶剂回收
9,,氯苯,,,1350,1414,,溶剂回收
主要安全评价结果,,,,,,,,
"一、
危
险、
有害
因素
辨识
结果",危险化学品：,,,"产
品：","中间产品：氢气（自用，甲醇裂解制）
副产品：正磷酸
溶剂回收：甲苯、乙醇、四氢呋喃、乙酸乙酯、丙酮、甲
醇、氯苯",,,
,,,,"原
料：","甲苯、甲醇、乙醇、乙酸乙酯、四氢呋喃、丙酮、氯苯、
硼氢化钾、锌粉、亚硝酸钠、氯仿（三氯甲烷）、盐酸、溴
素、对氯苯甲酰氯、氢氧化钾、氢氧化钠、氯化锌、雷尼",,,
