"序
号",物料名称,"毒性LD
50
(mg/kg)",侵入途径,有毒物质容许浓度(mg/m3),,,"危害
程度",备注
,,,,MAC,PC-TWA,PC-STEL,,
2,氮,—,吸入,—,—,—,—,
3,甲苯,"1000mg/kg(大鼠
经口)","吸入、食入、
经皮吸收",—,50,100,"中度
危害",
4,甲醇,"5628mg/kg(大鼠
经口)","吸入、食入、
经皮吸收",—,25,50,"中度
危害",
5,乙醇,"7060mg/kg(兔经
口)","吸入、食入、
经皮吸收",—,—,—,"轻微
危害",
6,乙酸乙酯,"5620mg/kg(大鼠
经口)","吸入、食入、
经皮吸收",—,200,300,"轻微
危害",
7,丙酮,"5800mg/kg(大鼠
经口)","吸入、食入、
经皮吸收",—,300,450,"轻微
危害",
8,四氢呋喃,"2816mg/kg(大鼠
经口)","吸入、食入、
经皮吸收",—,300,—,"轻微
危害",
9,氯苯,"2290mg/kg(大鼠
经口)","吸入、食入、
经皮吸收",—,50,—,"中度
危害",
10,硼氢化钾,—,"吸入、食入、
经皮吸收",—,—,—,—,
11,锌粉,—,吸入、食入,—,—,—,—,
12,亚硝酸钠,"85mg/kg(大鼠经
口)","吸入、食入、
经皮吸收",—,—,—,"中度
危害",
13,三氯甲烷,"908mg/kg(大鼠经
口)","吸入、食入、
经皮吸收",—,20,—,"轻度
危害",
14,盐酸,"900mg/kg(兔经
口)",吸入、食入,7.5,—,—,"高度
危害",
15,溴,"LC ：750ppm
50
9min(小鼠吸入)","吸入、食入、
经皮吸收",—,0.6,2,"中度
危害",
16,正磷酸,"1530mg/kg(大鼠
经口)","吸入、食入、
经皮吸收",—,1,3,"轻度
危害",
17,"4-氯苯甲
酰氯",—,"吸入、食入、
经皮吸收",—,—,—,—,
18,氢氧化钾,"273mg/kg(大鼠经
口)",吸入、食入,—,—,—,"中度
危害",
19,氢氧化钠,—,吸入、食入,2,—,—,"轻度
危害",
20,氯化锌,"350mg/kg(大鼠经
口)","吸入、食入、
经皮吸收",—,1,2,"轻度
危害",
21,雷尼镍,—,吸入、食入,—,—,—,"中度
危害",
22,天然气,—,吸入,—,—,—,"轻度
危害",
23,"氟利昂
R22","LC ：1000000mg
50
/m3 2h(大鼠吸入)",吸入,—,2,—,"轻微
危害",
24,柴油,—,"吸入、食入、
经皮吸收",—,—,—,"轻度
危害",
