,,,,
一、暂扣或吊销安全生产许可证类,,,,
,,,,
序,,,检查,
,分类内容,标准条款,,实际情况
号,,,结果,
,,,,
,新建、改建、扩建生产危险化学品的,,,
,建设项目未经具备国家规定资质的,,,
,单位设计、制造和施工建设；涉及危,,,新建、改建、扩
,,《危险化学品生产企业安全生产,,
1,险化工工艺、重点监管危险化学品的,,符合,建均按法规要求
,,许可证实施办法》第九条第一款。,,
,危险化学品生产装置，未经具有综合,,,办理手续。
,,,,
,甲级资质或者化工石化专业甲级设,,,
,计资质的化工石化设计单位设计。,,,
,,《安全生产法》；,,
,,《危险化学品生产企业安全生产,,
,,,,企业未使用淘汰
,使用国家明令淘汰落后安全技术工,许可证实施办法》第九条第二款；,,
2,,,符合,落后安全技术工
,艺、设备目录列出的工艺、设备。,《化工和危险化学品生产经营单,,
,,,,艺、设备。
,,位重大生产安全事故隐患判定标,,
,,,,
,,准（试行）》第十一条。,,
,,《安全生产法》；,,企业生产装置、
,涉及“两重点一重大”的生产装置、储,,,
,,《危险化学品生产企业安全生产,,储存设施外部安
3,存设施外部安全防护距离不符合国,,符合,
,,许可证实施办法》第八条第二款、,,全防护距离符合
,家标准要求，且无法整改的。,,,
,,第九条第五款；,,国家标准要求。
,,,,
