,RTECS号：,ZG8600000,
,UN/CN号：,1435；1436粉末或粉尘/43014,
,危险化学品序号：,2358,
,特殊事项：,"易制爆；重大危险源临界量：W11，遇水放出易燃气体的物质和混
合物，类别1，200t",
,IMDG规则页码：,4373,
"理
化
性
质",外观与性状：,浅灰色的细小粉末。,
,主要用途：,用作催化剂、还原剂和用于有机合成，也用于制备有色金属合金。,
,熔点：,419.6,
,沸点：,907,
,相对密度(水=1)：,7.13,
,相对密度(空气=1):,无资料,
,饱和蒸汽压(kPa)：,0.13/487℃,
,溶解性：,溶于酸、碱。,
,临界温度(℃)：,变脆点(℃)：210,
,临界压力(MPa)：,,
,燃烧热(kj/mol)：,无资料,
"燃
烧
爆
炸
危
险
性",避免接触的条件：,接触潮湿空气。,
,燃烧性：,可燃。最小引燃能量(mj)：65,
,建规火险类别：,乙,
,闪点(℃)：,无资料,
,自燃温度(℃)：,500,
,爆炸下限(V%)：,无资料,
,爆炸上限(V%)：,无资料,
,危险特性：,"具有强还原性。遇酸类、水、卤素和氧化剂等能发生强烈的化学反
应，引起燃烧或爆炸。粉体与空气可形成爆炸性混合物，当达到一
定的浓度时，遇火星会发生爆炸。
易燃性(红色)：2 反应活性(黄色)：2 健康危害(蓝色)：0",
,燃烧(分解)产物：,氧化锌。,
,稳定性：,不稳定,
,聚合危害：,不能出现,
,禁忌物：,胺类、硫、氯代烃、强酸、强碱、氧化物、强氧化剂、空气。,
,灭火方法：,"砂土、干粉。禁止用水。禁止用泡沫。如果该物质或被污染的流体
进入水路，通知有潜在水体污染的下游用户，通知地方卫生、消防
官员和污染控制部门。在安全防爆距离以外，使用雾状水冷却暴露
的容器。",
"包
装
与
储
运",危险性类别：,锌尘：,"自热物质和混合物，类别1
遇水放出易燃气体的物质和混合物，类别1
危害水生环境-急性危害，类别1
危害水生环境-长期危害，类别1"
,,锌粉：,"自热物质和混合物，类别1
遇水放出易燃气体的物质和混合物，类别1
危害水生环境-急性危害，类别1"
