,聚合危害：,不能出现
,禁忌物：,强碱、活性金属粉末、易燃或可燃物。
,灭火方法：,"泡沫、二氧化碳、砂土、干粉。如果该物质或被污染的流体进入水
路，通知有潜在水体污染的下游用户，通知地方卫生、消防官员和
污染控制部门。在安全防爆距离以外，使用雾状水冷却暴露的容器。"
"包
装
与
储
运",危险性类别：,"皮肤腐蚀/刺激，类别1B
严重眼损伤/眼刺激，类别1"
,危险货物包装标志：,8
,包装类别：,Ⅲ
,储运注意事项：,"储存于阴凉、干燥、通风处。远离火种、热源。防止阳光直射。保
持容器密封。应与碱类、H 发泡剂等分开存放。分装和搬运作业要
注意个人防护。搬运时要轻装轻卸，防止包装及容器损坏。
ERG指南：154 ERG指南分类：有毒和/或腐蚀性物质(不燃的)"
"毒
性
危
害",接触限值：,PC-TWA：1mg/m3；PC-STEL：3mg/m3
,侵入途径：,吸入、食入、经皮吸收
,毒性：,"LD ：1530mg/kg(大鼠经口)；2740mg/kg(兔经皮)
50"
,健康危害：,"蒸气或雾对眼、鼻、喉有刺激性。液体可致皮肤或眼灼伤。慢性影
响：鼻粘膜萎缩，鼻中隔穿孔。长期反复皮肤接触，可引起皮肤刺
激。
IDLH：1000mg/m3 OSHA：表Z—1空气污染物
健康危害(蓝色)：3"
"急
救",皮肤接触：,"脱去污染的衣着，立即用流动清水彻底冲洗。若有灼伤，按酸灼伤
处理。对少量皮肤接触，避免将物质播散面积扩大。注意患者保暖
并且保持安静。吸入、食入或皮肤接触该物质可引起迟发反应。确
保医务人员了解该物质相关的个体防护知识，注意自身防护。"
,眼睛接触：,立即提起眼睑，用流动清水或生理盐水冲洗至少15min。就医。
,吸入：,"脱离现场至空气新鲜处。必要时进行人工呼吸。就医。如果呼吸困
难，给予吸氧。如果患者食入或吸入该物质不要用口对口进行人工
呼吸，可用单向阀小型呼吸器或其他适当的医疗呼吸器。"
,食入：,误服者立即漱口，给饮牛奶或蛋清。就医。
"防
护
措
施",工程控制：,密闭操作，注意通风。尽可能机械化、自动化。
,呼吸系统防护：,"空气中浓度超标时，必须佩带防毒面具或供气式头盔。紧急事态抢
救或逃生时，建议佩带自给式呼吸器。
NIOSH/OSHA 25mg/m3：连续供气式呼吸器。
50mg/m3：高效滤层防微粒全面罩呼吸器、自携式呼吸器、全面罩呼
吸器。
1000mg/m3：供气式正压全面罩呼吸器。
应急或有计划进入浓度未知区域，或处于立即危及生命或健康的状
况：自携式正压全面罩呼吸器、供气式正压全面罩呼吸器、辅助自
携式正压呼吸器。
逃生：高效滤层防微粒全面罩呼吸器、自携式逃生呼吸器。"
,眼睛防护：,戴化学安全防护眼镜。
,防护服：,穿工作服(防腐材料制作)。
,手防护：,戴橡皮手套。
,其他：,"工作后，淋浴更衣。单独存放被毒物污染的衣服，洗后再用。保持
良好的卫生习惯。"
