4-氯苯甲酰氯,,
"标
识",中文名：,4-氯苯甲酰氯；对氯苯甲酰氯
,英文名：,p-Chlorobenzoyl chloride；4-Chlorobenzoyl chloride
,分子式：,"C H Cl O
7 4 2"
,分子量：,175.02
,CAS号：,122-01-0
,RTECS号：,
,UN/CN编号：,-/81636
,危险化学品序号：,1426
,特殊事项：,/
,IMDG规则页码：,
"理
化
性
质",外观与性状：,无色或微黄色透明液体或结晶。
,主要用途：,用作农药和医药中间体。
,熔点：,12～14
,沸点：,220～222
,相对密度(水=1)：,1.3770
,相对密度(空气=1):,
,饱和蒸汽压(kPa)：,
,溶解性：,不溶于水，溶于乙醇、乙醚、丙酮。
,临界温度(℃)：,
,临界压力(MPa)：,折射率：1.5780
,燃烧热(kj/mol)：,
"燃
烧
爆
炸
危
险
性",避免接触的条件：,接触潮湿空气。
,燃烧性：,可燃
,建规火险分级：,丙
,闪点(℃)：,105
,自燃温度(℃)：,
,爆炸下限(V%)：,
,爆炸上限(V%)：,
,危险特性：,"遇明火、高热可燃。与强氧化剂可发生反应。有腐蚀性。吸潮或遇
水会产生大量的腐蚀性烟雾。受高热分解产生有毒的腐蚀性烟气。"
,燃烧(分解)产物：,一氧化碳、二氧化碳、氯化氢、光气。
,稳定性：,稳定
