运,储运注意事项：,"储存于高燥清洁的仓·间内。注意防潮和雨水浸入。应与易燃、可燃
物及酸类分开存放。分装和搬运作业要注意个人防护。搬运时要轻装
轻卸，防止包装及容器损坏。雨天不宜运输。"
"毒
性
危
害",接触限值：,MAC：2mg/m3
,侵入途径：,吸入、食入
,毒性：,"IDLH：10mg/m3 嗅阈：未被列出；在2mg/m3时有黏膜刺激
OSHA：表Z—1空气污染物 NIOSH标准文件：NIOSH 76—105"
,健康危害：,"本品有强烈刺激和腐蚀性。粉尘或烟雾刺激眼和呼吸道，腐蚀鼻中隔；
皮肤和眼直接接触可引起灼伤；误服可造成消化道灼伤，粘膜糜烂、
出血和休克。"
"急
救",皮肤接触：,"立即用水冲洗至少15min。若有灼伤，就医治疗。脱去并隔离被污染
的衣服和鞋。对少量皮肤接触，避免将物质播散面积扩大。注意患者
保暖并且保持安静。吸入、食入或皮肤接触该物质可引起迟发反应。
确保医务人员了解该物质相关的个体防护知识，注意自身防护。"
,眼睛接触：,"立即提起眼脸，用流动清水或生理盐水冲洗至少 15min。或用 3%硼
酸溶液冲洗。就医。"
,吸入：,"脱离现场至空气新鲜处。必要时进行人工呼吸。就医。如果呼吸困难，
给予吸氧。如果患者食入或吸入该物质不要用口对口进行人工呼吸，
可用单向阀小型呼吸器或其他适当的医疗呼吸器。"
,食入：,患者清醒时立即漱口，口服稀释的醋或柠檬汁，就医。
"防
护
措
施",工程控制：,密闭操作。
,呼吸系统防护：,"必要时佩带防毒口罩。NIOSH/OSHA 10mg/m3：连续供气式呼吸器、
高效滤层防微粒全面罩呼吸器、动力驱动带烟尘过滤层的空气净化呼
吸器、自携式呼吸器、全面罩呼吸器。 应急或有计划进入浓度未知
区域，或处于立即危及生命或健康的状况：自携式正压全面罩呼吸器、
供气式正压全面罩呼吸器辅之以辅助自携式正压呼吸器。 逃生：高
效滤层防微粒全面罩呼吸器、自携式逃生呼吸器。"
,眼睛防护：,戴化学安全防护眼镜
,防护服：,穿工作服(防腐材料制作)。
,手防护：,戴橡皮手套。
,其他：,工作后，淋浴更衣。注意个人清洁卫生。
泄漏处置：,,"隔离泄漏污染区，周围设警告标志，建议应急处理人员戴好防毒面具，
穿化学防护服。不要直接接触泄漏物，用洁清的铲子收集于干燥净洁
有盖的容器中，以少量加入大量水中，调节至中性，再放入废水系统。
也可以用大量水冲洗，经稀释的洗水放入废水系统。如大量泄漏，收
集回收或无害处理后废弃。"
