,,"吨、甲醇1590吨、氯苯1350吨、磷酸1000吨。
有效期：2021年4月10日至2024年4月9日",,,,,,,,
变更事项,,"1）本次申请延期+变更换证，安全生产许可证变更事项：因普瑞巴林的加氢工段本次
评价时已取消，安全生产许可范围涉及的溶剂乙醇回收量相应减少175 t/a。
2）过去三年中，因10号楼内格列齐特精制工段取消，原该工段回收的溶剂乙酸乙酯的
回收量相应减少640t/a，已于2023年6月完成换证。",,,,,,,,
本项目产品（非危险化学品）及生产情况,,,,,,,,,,
序号,产品名称,,"规模
（t/a）",生产原辅料,,,生产车间,,,"重点监管
危险工艺"
1,格列齐特,,40,"氯化锌、酰亚胺、硼氢
化钾、甲苯、四氢呋喃、
锌粉、盐酸、液碱、乙
酸乙酯、亚硝酸钠、对
甲苯磺酰脲、乙醇",,,"8号楼（格列齐特酰亚胺还原、
亚油、亚油还原工段）、9号楼（格
列齐特合成、缩合、废水浓缩工
段）",,,不涉及
2,"亚氨基二苄
（IDB）",,1500,"二硝基二苄、多聚磷酸、
乙醇、甲苯、甲醇、氢
气、雷尼镍",,,"3号楼（亚氨基二苄加氢工段）、
6号楼（亚氨基二苄浓缩、环合
工段）、7号楼（亚氨基二苄精制
回收工段）、10号楼（亚氨基二
苄精制工段）",,,加氢
3,苯扎贝特,,60,"对氯苯甲酰氯、小苏打、
盐酸酪胺、乙酸乙酯、
片碱、氯仿、丙酮、盐
酸、活性炭",,,"7号楼（苯扎贝特缩合工段）、8
号楼（苯扎贝特酰化工段）",,,不涉及
4,普瑞巴林,,50,"还原物、盐酸、甲苯、
水、活性炭、片碱",,,7号楼,,,不涉及
5,"10-甲氧基
亚氨芪",,120,"溴素、氯苯、甲苯、甲
醇、氢氧化钾、亚氨基
二苄甲酰氯",,,"14号楼（10-甲氧基亚氨芪溴化
工段）、10号楼（10-甲氧基亚氨
芪水解、精制工段）",,,不涉及
"注：1）上一轮评价时的产品：60t/a盐酸酪胺（10号楼），本次评价时已经停产，不涉及安全生产许可
范围变更事项。
2）产品：普瑞巴林的加氢工段本次评价时已取消，安全生产许可范围涉及的溶剂乙醇回收量相应
减少。",,,,,,,,,,
本项目中间产品情况（申请安全生产许可证许可范围）,,,,,,,,,,
序号,名称,,规模（t/a）,,"危化品
序号",生产原辅料,,生产车间,,"重点监管
危险工艺"
1,氢气,,300Nm3/h,,1648,甲醇、纯化水、催化剂,,3号楼西侧制氢车间,,裂解
本项目副产品情况（申请安全生产许可证许可范围）,,,,,,,,,,
序号,副产品名称,,"年回收量
（t/a）",,"危化品
序号",对应主产品,,,生产车间,
1,磷酸,,1000,,2790,"亚氨基二苄环合工段中回收
磷酸",,,"6号楼内亚氨基二苄环合工
序",
溶剂回收情况（申请安全生产许可证许可范围）,,,,,,,,,,
序号,溶剂名称,,"年回收量
（t/a）",,"危化品
序号",对应主产品,,,回收场所,
1,甲苯,,3200,,1014,10-甲氧基亚氨芪,,,"10号楼10-甲氧基亚氨芪精
制工段",
