序名,设备名称,规格型号,安装位置,设备编号,备注
54,反应罐,FR5000,二楼,083-18501,Q235B
55,反应釜,FR2500,三楼,083-18101-5,S30408
56,反应釜,FR2500,三楼,083-18101-6,S30408
57,反应釜,FR2500,三楼,083-18101-7,S30408
58,反应釜,FR2500,三楼,083-18101-8,S30408
59,气液分离器,50L,三楼,083-18103-5,不锈钢
60,气液分离器,50L,三楼,083-18103-6,不锈钢
61,气液分离器,50L,三楼,083-18103-7,不锈钢
62,气液分离器,50L,三楼,083-18103-8,不锈钢
63,脱水罐,KR2000,三楼,083-18104-3,搪玻璃
64,贮罐,1800L,三楼,083-18113-5,碳钢
65,贮罐,1800L,三楼,083-18113-6,碳钢
66,反应釜,1000L,三楼,083-18121,搪玻璃
67,卧式储罐,800L,三楼,083-18122-1,碳钢
68,卧式储罐,800L,三楼,083-18122-2,碳钢
69,立式贮罐,500L,三楼,083-18205-3,不锈钢
70,计量罐,500L,三楼,083-18205-4,不锈钢
71,贮罐,500L,三楼,083-18205-5,Q235B
72,搪玻璃计量罐,300L,三楼,083-18207-5,搪玻璃
73,搪玻璃计量罐,300L,三楼,083-18207-6,搪玻璃
74,搪玻璃计量罐,300L,三楼,083-18207-7,搪玻璃
75,搪玻璃计量罐,300L,三楼,083-18207-8,搪玻璃
76,反应釜,2000L,三楼,083-18214-5,搪玻璃
77,反应釜,2000L,三楼,083-18214-6,搪玻璃
78,反应釜,2000L,三楼,083-18214-7,搪玻璃
79,反应釜,2000L,三楼,083-18214-8,搪玻璃
80,反应釜,2000L,三楼,083-18214-9,搪玻璃
81,"圆孔快式石墨换热
器",15㎡,三楼,083-18215-7,石墨
82,"圆孔快式石墨换热
器",15㎡,三楼,083-18215-8,石墨
83,溶解罐,300L,三楼,083-18302-3,碳钢
84,溶解罐,300L,三楼,083-18302-4,1Cr18Ni9Ti
85,卧式储罐,500L,楼顶,083-18138-1,碳钢
86,卧式储罐,800L,楼顶,083-18138-2,碳钢
87,立式储罐,500L,楼顶,083-18139-1,碳钢
88,立式储罐,500L,楼顶,083-18139-2,不锈钢
89,方箱,1500L,楼顶,083-18140-1,不锈钢
90,方箱,1500*800*800,楼顶,083-18140-2,不锈钢
