识,分子式：,"C H O
2 6"
,分子量：,46.07
,CAS号：,64-17-5
,RTECS号：,KQ6300000
,UN/CN编号：,1170/32061
,危险化学品序号：,2568
,特殊事项：,第四类特别管控；重大危险源临界量：500t
,IMDG规则页码：,3219
"理
化
性
质",外观与性状：,无色液体，有酒香。
,主要用途：,用于制酒工业、有机合成、消毒以及用作溶剂。
,熔点：,-114.1
,沸点：,78.3
,相对密度(水=1)：,0.79
,相对密度(空气=1):,1.59
,饱和蒸汽压(kPa)：,5.33/19℃
,溶解性：,"与水混溶，可混溶于醚、氯仿、甘油等多数有机溶剂。可产生易燃、
刺激性蒸气。"
,临界温度(℃)：,243.1 折射率：1.366
,临界压力(MPa)：,6.38 最大爆炸压力(MPa)：0.735
,燃烧热(kj/mol)：,1365.5（3.0×104kJ/kg）
"燃
烧
爆
炸
危
险
性",避免接触的条件：,
,燃烧性：,易燃
,建规火险类别：,甲
,闪点(℃)：,12
,自燃温度(℃)：,363
,爆炸下限(V%)：,3.3
,爆炸上限(V%)：,19.0
,危险特性：,"其蒸气与空气形成爆炸性混合物，遇明火、高热能引起燃烧爆炸。
与氧化剂能发生强烈反应。其蒸气比空气重，能在较低处扩散到相
当远的地方，遇火源引着回燃。若遇高热，容器内压增大，有开裂
和爆炸的危险。燃烧时发出紫色火焰。
易燃性(红色)：3 反应活性(黄色)：0"
,燃烧(分解)产物：,一氧化碳、二氧化碳。
,稳定性：,稳定
,聚合危害：,不能出现
,禁忌物：,强氧化剂、酸类、酸酐、碱金属、胺类。
,灭火方法：,"泡沫、二氧化碳、干粉、砂土。用水灭火无效。如果该物质或被污
染的流体进入水路，通知有潜在水体污染的下游用户，通知地方卫
生、消防官员和污染控制部门。"
"包
装",危险性类别：,易燃液体，类别2
,危险货物包装标志：,3
