,禁忌物：,强氧化剂。
,灭火方法：,雾状水、泡沫、二氧化碳、干粉、砂土。
"包
装
与
储
运",危险性类别：,"易燃液体，类别3
危害水生环境-急性危害，类别2
危害水生环境-长期危害，类别2"
,危险货物包装标志：,3
,包装类别：,Ⅲ
,储运注意事项：,"储存于阴凉、通风仓间内。远离火种、热源。仓温不宜超过 30℃。
防止阳光直射。保持容器密封。应与氧化剂分开存放。储存间内的照
明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量
的消防器材。罐储时要有防火防爆技术措施。禁止使用易产生火花的
机械设备和工具。灌装时应注意流速(不超过3m/s)，且有接地装置，
防止静电积聚。搬运时要轻装轻卸，防止包装及容器损坏。"
"毒
性
危
害",接触限值：,PC-TWA：50mg/m3
,侵入途径：,吸入、食入、经皮吸收
,毒性：,"LD ：2290mg/kg(大鼠经口)
50"
,健康危害：,"对中枢神经系统有抑制作用和麻醉作用，对皮肤和粘膜有轻微刺激作
用。急性中毒：有头痛、头晕、无力、食欲减退、麻醉状态，甚至昏
迷。慢性影响：常有眼痛、流泪、结膜充血。早期有头痛、失眠、记
忆减退等神经衰弱征候群，重者引起中毒性肝炎，个别可发生肾脏损
害。"
"急
救",皮肤接触：,脱去污染的衣着，用肥皂水及清水彻底冲洗。
,眼睛接触：,立即提起眼睑，用大量流动清水或生理盐水冲洗。
,吸入：,"迅速脱离现场至空气新鲜处。呼吸困难时给输氧。呼吸停止时，立即
进行人工呼吸。就医。"
,食入：,误服者给充分漱口、饮水，尽快洗胃。就医。
"防
护
措
施",工程控制：,密闭操作，局部排风。
,呼吸系统防护：,"空气中浓度超标时，应该佩带防毒口罩。紧急事态抢救或逃生时，建
议佩带自给式呼吸器。"
,眼睛防护：,一般不需特殊防护，高浓度接触时可戴化学安全防护眼镜。
,防护服：,穿相应的防护服。
,手防护：,戴防化学品手套。
,其他：,工作现场严禁吸烟。工作后，淋浴更衣。注意个人清洁卫生。
泄漏处置：,,"疏散泄漏污染区人员至安全区，禁止无关人员进入污染区，切断火源。
建议应急处理人员戴好防毒面具，穿一般消防防护服。在确保安全情
况下堵漏。喷水雾会减少蒸发，但不能降低泄漏物在受限制空间内的
易燃性。用沙土或其它不燃性吸附剂混合吸收，然后收集运至废物处
理场所处置。也可以用不燃性分散剂制成的乳液刷洗，经稀释的洗水
放入废水系统。如大量泄漏，利用围堤收容，然后收集、转移、回收
或无害处理后废弃。"
