"建构筑物
名称","方
位","相邻建筑物
名称","规范
要求m","实际距
离m",结论,备注
3号楼（甲）,东,8号楼（甲）,12,16.3,符合,
,南,"辅助用房（丙，1
号楼）",25,28.8,符合,
,西,围墙,5,10.3,符合,"墙外空地，次之新农
甲类加氢车间72.9m"
,北,仓库一（丙）,12,12.1,符合,"3号楼室外设备与之距
离10.2m"
6号楼（甲）,东,固废仓库（丙）,12,17.7,符合,
,,发电机房,12,16.5,符合,
,南,7号楼（甲）,12,12.1,"符合安全
生产要求","距7号楼室外设备
9.3m，6号楼相邻侧已
设防火墙及防火门窗"
,西,油炉房,30,35,符合,明火点
,,综合仓库（丙）,12,16.3,符合,
,北,厕所,12,11,"符合安全
生产要求","厕所已设防火墙及防
火门窗"
7号楼（甲）,东,"公用工程车间二
（丙）",12,20.23,符合,室外设备间距13.7m
,南,8号楼（甲）,12,12.1,符合,"7号楼邻侧已设防火墙
及防火门窗"
,西,仓库一（丙）,12,16.3,符合,
,北,6号楼（甲）,12,12.1,"符合安全
生产要求","室外设备距6号楼
9.3m，6号楼相邻侧已
设防火墙及防火门窗"
8号楼（甲类）,东,"公用工程车间一
（丙）",12,20.2,符合,室外设备间距18.2m
,南,9号楼（甲）,12,12.1,"符合安全
生产要求","距9号楼室外设备
9.5m，8号楼邻侧已设
防火墙及防火门窗"
,西,3号楼（甲）,12,16.3,符合,
,北,7号楼（甲）,12,12.1,符合,"7号楼邻侧已设防火墙
及防火门窗"
9号楼（甲）,东,"18号楼（丙，闲
置）",12,13.3,符合,
,南,10号楼（甲）,12,12.1,符合,"距10号楼室外设备
9.1m，9号楼邻侧已设
防火墙及防火门窗"
,西,办公楼,25,17,"符合安全
生产要求","办公楼内东侧闲置9m
的房间"
,北,8号楼（甲）,12,12.1,"符合安全
生产要求","室外设备距8号楼
9.5m，8号楼邻侧已设
防火墙及防火门窗"
10号楼（甲）,东,辅助用楼,12,12.8,符合,"室外设备距辅助用楼
10.8m"
