,"六、含油污水排水管在出防火堤处应设水封
设施，雨水排水管应设置阀门等封闭装置。",,,"设置有阀门等封闭装
置。"
6,罐组内不应布置与其无关的管道。,GB50160-2008,符合,"罐组内无与其无关的管
道。"
7,"甲 类液体固定顶罐或低压储罐应采取减
B
少日晒升温的措施。",GB50160-2008,符合,"易燃液体储罐设置有固
定式冷却水喷淋系统。"
8,"甲 、乙类液体的固定顶罐应设阻火器和呼
B
吸阀。",GB50160-2008,符合,"储罐设有阻火器和呼吸
阀。"
9,"可燃液体的储罐应设液位计和高液位报警
器，必要时可设自动连锁切断进料设施；并
宜设自动脱水器。",GB50160-2008,符合,"使用磁翻板液位计，有
液位远传、显示，带高
液位报警。"
10,"可燃气体、液化烃和可燃液体的金属管道除
需要采用法兰连接外，均应采用焊接连接。
公称直径等于或小于25mm的可燃气体、液
化烃和可燃液体的金属管道和阀门采用锥
管螺纹连接时，除能产生缝隙腐蚀的介质管
道外，应在螺纹处采用密封焊。","《浙江省化工行
业生产管理规范
指导意见》
第二十条",符合,"储罐金属管道除需要采
用法兰连接外，均采用
焊接连接。"
11,"储存有机溶剂的储罐应考虑避免含有机溶
剂气体的无组织排放，气体排放管应安装呼
吸阀与阻火器。",,符合,"安装有呼吸阀与阻火
器。"
12,"甲、乙类液体的储运设施区内，应设置可燃
气体检测报警系统。
可燃气体（蒸汽）有可能泄漏扩散处必须设
置可燃气体浓度检测报警装置。","GB50160-2008
5.1.3
浙经信医化
〔2011〕759号
第四十一条",符合,"储罐区设置有可燃气体
检测探头。"
13,"可能产生静电危险的设备和管道，均应采取
静电接地措施。","GB50160-2008
9.3.1",符合,已采取静电接地措施。
14,涉及危险化学品的场所应设置安全周知卡。,HG23010-1997,符合,已设置安全周知卡。
15,"设备和管线应按有关标准要求涂识别色、识
别符号和安全标识。","GB/T12801-2008
6.8.4",符合,"管道上有流向标志、介
质名称和安全色。"
16,"重点防火防爆岗位的入口处，应设人体导除
静电装置。","HG/T23003-1992
5.9",符合,"设有人体导除静电装
置。"
17,汽车罐车应设静电专用接地线。,"GB50160-2008
9.3.5",符合,"已设置带报警功能的罐
车静电接地装置。"
18,"防火堤、防护墙应采用不燃烧材料建造，且
必须密实、闭合、不泄漏","GB50351-2014
3.1.2",符合,"防火堤为不燃材料建
造，无孔隙。"
19,"每一储罐组的防火堤、防护墙应设置不少于
2处越堤人行踏步或坡道，并应设置在不同
方向上。隔堤、隔墙应设置人行踏步或坡道。","GB50351-2014
3.1.7",符合,设置的踏步符合要求。
