"序
号",检查项目及内容,依据法规,"检查
结果",备注
4,"易制爆危险化学品应当按照国家有关标
准和规范要求，储存在封闭式、半封闭式
或者露天式危险化学品专用储存场所内，
并根据危险品性能分区、分类、分库储存。","《易制爆危险化
学品治安管理办
法》第26条",符合,"易制爆化学品单独
储存在易制爆品仓
库内。"
5,"易制爆危险化学品从业单位应当建立易
制爆危险化学品出入库检查、登记制度，
定期核对易制爆危险化学品存放情况。","易制爆危险化学
品治安管理办
法》第28条",符合,"企业制定有易制爆
化学品安全管理制
度，包括了上述内
容。"
6,"易制爆危险化学品储存场所(储存室、储
存柜除外)治安防范状况应当纳入单位安
全评价的内容，经安全评价合格后方可使
用。","易制爆危险化学
品治安管理办
法》第29条",符合,"企业目前正按规定
进行安全评价。"
7,"构成重大危险源的易制爆危险化学品，应
当在专用仓库内单独存放，并实行双人收
发、双人保管制度。","易制爆危险化学
品治安管理办
法》第30条",符合,"易制爆化学品单独
储存在易制爆品仓
库内，并设置有实
体防范系统、入侵
报警系统和视频监
控系统，实行双人
收发、双人保管。"
8,"易制爆危险化学品从业单位应建立易制
爆危险化学品防盗、防抢、防破坏及技术
防范系统发生故障等状态下的应急处置
预案，并每年开展一次针对性的应急演
练。","GA1511-2018第
6.8条",符合,"企业制定有突发治
安事件现场处置方
案，包含上述内容，
定期开展针对性的
应急演练。"
9,"封闭式、半封闭式储存场所的周界应设置
围墙或栅栏。半封闭式储存场所的围墙或
栅栏的顶部应设有防攀爬措施，围墙、栅
栏的离地高度应大于等于2m。","GA1511-2018第
7.1条",符合,"易制爆品仓库外墙
高于2m。"
10,"封闭式、半封闭式储存场所出入口应设置
防火门，门应向疏散方向开启。","GA1511-2018第
7.2条",符合,"易制爆品仓库出入
口为防火门，向外
开启。"
11,保卫值班室出入口应设置防盗安全门。,"GA1511-2018第
7.6条",符合,设置防盗安全门。
12,"安防监控中心应单独设置或设置在保卫
值班室内。","GA1511-2018第
7.7条",符合,"监控中心单独设置
在厂区入口门卫室
内。"
13,"易制爆危险化学品储存场所的安全防范
设施配置要求见表A.1","GA1511-2018第
7.11条、第8.1.9
条",符合,"安装有实体防范系
统、入侵报警系统
和视频监控系统。"
14,"封闭式、半封闭式、露天式储存场所出入
口应安装入侵报警装置、出入口控制装置
和视频监控装置，监视和回放图像应能清
晰辨别进出场所人员的面部特征和物品
出入场所交接情况。","GA1511-2018第
8.1.2条",符合,"安装有入侵报警装
置和视频监控装
置。"
15,"具有易爆特性的易制爆化学品储存场所，
其视频监控装置的防爆特性、电缆的防爆
防护措施应符合GB 50058的相关规定。","GA1511-2018第
8.1.5条",符合,"易制爆化学品仓库
使用防爆电气装
置，并静电接地。"
