15,"需控制温度的单元应设置温度指示装置、超
温声光报警装置及应急处理系统。","HJ/T387-2007
第4.3.3条","不涉
及","吸收塔无温度控
制单元。"
16,"需控制压力的单元应设置压力指示和泄压
装置，其性能应符合安全技术的有关要求。","HJ/T387-2007
第4.3.4条",符合,"吸收塔无压力控
制单元。"
17,"污染物为易燃易爆气体时，应采用防爆风机
和电机。","HJ/T387-2007
第4.3.5条",符合,"现场为防爆风机
和电机。"
18,"由计算机控制的净化装置应同时具备手动
操作功能。","HJ/T387-2007
第4.3.6条",符合,现场为手动操作
19,"净化装置气体进出口管道上应设置气体采
样口。","HJ/T387-2007
第4.4条",符合,已设置采样口。
20,"蓄热燃烧法工业有机废气治理工程（以下简
称“治理工程”）应符合《建设项目环境保
护管理条例》的相关要求。",HJ1093-2020,符合,"RTO 工程符合相
关要求。"
21,"经过治理后的污染物向环境排放时，应符合
国家和地方相关污染物排放标准的规定，满
足环境影响评价文件批复意见、主要污染物
总量控制及排污许可等要求。",HJ1093-2020,符合,"治理后排放符合
污染物问题控制
及排污许可等要
求。"
22,"两室蓄热燃烧装置的净化效率不宜低于
95%，多室或旋转式蓄热燃烧装置的净化效
率不宜低于98%",HJ1093-2020,符合,"净化效率不低于
98%。"
23,"蓄热燃烧装置的热回收效率一般不宜低于
90%。",HJ1093-2020,符合,"热回收效率不低
于90%。"
24,"治理工程应有故障自动报警和保护装置，并
符合安全生产、事故防范的相关规定",HJ1093-2020,符合,"设有故障报警和
保护装置。"
25,"当废气产生点较多、彼此距离较远时，在满
足风管相关设计规范、风压平衡的基础上，
应适当分设多套收集系统或中继风机。",HJ1093-2020,符合,"设有多套收集系
统。"
26,"预处理工艺应根据废气的成分、性质和污染
物的含量等因素进行选择。",HJ1093-2020,符合,"已根据废气的成
分、性质和含量等
进行选择。"
27,"当废气含有酸、碱类气体时，宜采用中和吸
收等工艺进行去除。",HJ1093-2020,符合,"采用中和吸收预
处理装置。"
28,燃烧器应具备温度自动调节的功能。,HJ1093-2020,符合,"已设置温度自动
调节装置。"
29,"当废气浓度波动较大时，应对废气进行实时
监测，并采取稀释、缓冲等措施，确保进入
蓄热燃烧装置的废气浓度低于爆炸极限下
限的25%。",HJ1093-2020,符合,"设有废气浓度在
线检测仪表。"
30,"应在治理工程与主体生产工艺设备之间的
管道系统中安装阻火器或防火阀，阻火器应
符合 GB/T13347 的相关规定，防火阀应符
合GB15930的相关规定。",HJ1093-2020,符合,已设置阻火器。
31,"治理工程的防爆泄压设计应符合 GB50160
的相关规定。",HJ1093-2020,符合,已设置泄压装置。
32,"燃烧器点火操作应符合 GB/T19839 的相关
规定。",HJ1093-2020,符合,符合相关要求。
33,"燃料供给系统应设置高低压保护和泄漏报
警装置。",HJ1093-2020,符合,"已设置相关报警
装置。"
