氯苯,,
"标
识",中文名：,氯苯；一氯代苯
,英文名：,Chlorobenzene；Monochlorobenzene
,分子式：,"C H Cl
6 5"
,分子量：,112.56
,CAS号：,108-90-7
,RTECS号：,CZ0175000
,UN/CN编号：,1134/33546
,危险化学品序号：,1414
,特殊事项：,重点监管；重大危险源临界量：W5.4，易燃液体，类别3，5000t
,IMDG规则页码：,3318
"理
化
性
质",外观与性状：,无色透明液体，具有不愉快的苦杏仁味。
,主要用途：,作为有机合成的重要原料。
,熔点：,-45.2
,沸点：,132.2
,相对密度(水=1)：,1.10
,相对密度(空气=1):,3.9
,饱和蒸汽压(kPa)：,1.33/20℃
,溶解性：,不溶于水，溶于乙醇、乙醚、氯仿、二硫化碳、苯等多数有机溶剂。
,临界温度(℃)：,359.2
,临界压力(MPa)：,4.52 辛醇/水分配系数的对数值：2.84
,燃烧热(kj/mol)：,无资料
"燃
烧
爆
炸
危
险
性",避免接触的条件：,
,燃烧性：,易燃
,建规火险分级：,乙
,闪点(℃)：,28
,自燃温度(℃)：,590
,爆炸下限(V%)：,1.3
,爆炸上限(V%)：,9.6
,危险特性：,"遇明火、高热或与氧化剂接触，有引起燃烧爆炸的危险。与过氯酸银、
二甲亚砜反应剧烈。若遇高热，容器内压增大，有开裂和爆炸的危险。"
,燃烧(分解)产物：,一氧化碳、二氧化碳、氯化物。
,稳定性：,稳定
,聚合危害：,不能出现
