识,英文名：,Potassium borohydride
,分子式：,"KBH
4"
,分子量：,53.94
,CAS号：,13762-51-1
,RTECS号：,TS7525000
,UN/CN编号：,1870/43045
,危险化学品序号：,1605
,特殊事项：,"易制爆；重大危险源临界量：W11，遇水放出易燃气体的物质和混合
物，类别1，200t"
,IMDG规则页码：,4357
"理
化
性
质",外观与性状：,白色结晶性粉末。
,主要用途：,用于醛、酮、酰氯化物的还原剂，以及用于制氢和其他硼氢盐。
,熔点：,>400(分解)
,沸点：,无资料
,相对密度(水=1)：,1.18
,相对密度(空气=1):,无资料
,饱和蒸汽压(kPa)：,无资料
,溶解性：,不溶于烃类、苯、乙醚，微溶于甲醇、乙醇，溶于液氨。
,临界温度(℃)：,
,临界压力(MPa)：,
,燃烧热(kj/mol)：,
"燃
烧
爆
炸
危
险
性",避免接触的条件：,接触潮湿空气。
,燃烧性：,易燃
,建规火险类别：,甲
,闪点(℃)：,无资料
,自燃温度(℃)：,无资料
,爆炸下限(V%)：,无资料
,爆炸上限(V%)：,无资料
,危险特性：,"遇明火、高热或与氧化剂接触，有引起燃烧爆炸的危险。遇水或酸发
生反应放出氢气及热量，能引起燃烧。"
,燃烧(分解)产物：,氧化硼、氢气。
,稳定性：,稳定
,聚合危害：,不能出现
,禁忌物：,强氧化剂、酸类、水、醇类。
,灭火方法：,"砂土、干粉。禁止用水。禁止用泡沫。封闭区域内的蒸气遇火能爆炸。
如果该物质或被污染的流体进入水路，通知有潜在水体污染的下游用
户，通知地方卫生、消防官员和污染控制部门。在安全防爆距离以外，
使用雾状水冷却暴露的容器。如果容器长时间暴露于明火中或高温
下，立即撤离到安全区域。"
"包
装
与",危险性类别：,"遇水放出易燃气体的物质和混合物，类别1
急性毒性-经口，类别3
急性毒性-经皮，类别3"
