正磷酸,,
"标
识",中文名：,磷酸；正磷酸
,英文名：,Phosphoric acid；Orthophosphoric acid
,分子式：,"H PO
3 4"
,分子量：,98
,CAS号：,7664-38-2
,RTECS号：,TB6300000
,UN/CN编号：,1805/81501
,危险化学品序号：,2790
,特殊事项：,/
,IMDG规则页码：,8204
"理
化
性
质",外观与性状：,纯磷酸为无色结晶，无臭，具有酸味。
,主要用途：,用于制药、颜料、电镀、防锈等。
,熔点：,42.4(纯品)
,沸点：,260
,相对密度(水=1)：,1.87(纯晶)
,相对密度(空气=1):,3.38
,饱和蒸汽压(kPa)：,0.67/25℃(纯)
,溶解性：,与水混溶，可混溶于乙醇。
,临界温度(℃)：,
,临界压力(MPa)：,粘度(mm2/S)：47.0c.p.
,燃烧热(kj/mol)：,无意义
"燃
烧
爆
炸
危
险
性",避免接触的条件：,
,燃烧性：,助燃
,建规火险类别：,
,闪点(℃)：,无意义
,自燃温度(℃)：,无意义
,爆炸下限(V%)：,无意义
,爆炸上限(V%)：,无意义
,危险特性：,"有腐蚀性。受热分解产生剧毒的氧化磷烟气。 强酸；接触强腐蚀剂，
放出大量热量，并发生溅射。与脂肪胺、链烷醇胺、烯基氧化物、
芳香胺、氨基化合物、氨、氢氧化铵、碱、氧化钙、环氧氯丙烷、
异氰酸酯不能配伍。与硝基甲烷、发烟硫酸、有机酸酐、硫酸、四
硼氢化钠、强氧化剂、醋酸乙烯酯和水接触发生爆炸。接触大多数
金属能形成易燃氢气。如果作为金属洗净剂，金属中的杂质能引起
形成剧毒的磷化氢气体。能腐蚀某些塑料、橡胶、涂料、玻璃和陶
瓷。
易燃性(红色)： 0 反应活性(黄色)：0"
,燃烧(分解)产物：,氧化磷。
,稳定性：,稳定
