序号,储存介质,数量,最大储量（t）,规格,材质,备注
4,盐酸储罐,1,42,Φ2800×7400，50m3,钢衬四氟,戊类
5,盐酸备用罐,1,—,Φ2800×7400，50m3,聚丙烯,戊类
6,硫酸储罐（闲置）,1,—,Φ2800×6400，40m3,碳钢,戊类
7,柴油储罐,1,11,Φ2000×4400，15m3,碳钢,丙类
8,"乙酸乙酯混合液
储罐",1,38,Φ2800×7400，50m3,碳钢,甲类
9,工业甲醇罐,1,34,Φ2800×7400，50m3,碳钢,甲类
10,丙酮储罐,1,34,Φ2800×7400，50m3,碳钢,甲类
11,乙酸乙酯储罐,1,38,Φ2800×7400，50m3,碳钢,甲类
12,三氯甲烷储罐,1,64,Φ2800×7400，50m3,碳钢,甲类
13,甲苯储罐,1,37,Φ2800×7400，50m3,碳钢,甲类
14,回收乙醇罐,1,34,Φ2800×7400，50m3,碳钢,甲类
15,制氢甲醇罐,1,34,Φ2800×7400，50m3,碳钢,甲类
16,加氢乙醇罐,1,34,Φ2800×7400，50m3,碳钢,甲类
17,甲苯储罐,1,26,Φ2400×7400，35m3,碳钢,甲类
18,无水乙醇罐,1,24,Φ2400×7400，35m3,碳钢,甲类
19,螺旋板式换热器,1,/,6m2,,
20,箱式真空机组,1,/,JW-RPP-65-280,,RPP
21,氮气储罐,1,/,300L,,不锈钢
22,氮气储罐,1,/,2000L,,碳钢
23,旋风分离器,1,/,,,
24,防爆除湿机,1,/,WSDH-8150FB,,
