"序
号",物料名称,外观,"燃烧
性","火险
类别",闪点℃,"自燃温
度℃","爆炸极限
（V％）"
5,乙醇,无色液体，有酒香,易燃,甲,12,363,3.3～19.0
6,乙酸乙酯,"无色澄清液体，有芳香气
味，易挥发",易燃,甲,"-4闭杯；
13开杯",426,2.0～11.5
7,丙酮,"无色透明易流动液体，有
芳香气味，极易挥发。有
指甲油去除剂的甜味",易燃,甲,-20,465,2.5～13.0
8,四氢呋喃,"无色易挥发液体，有类似
乙醚的气味",易燃,甲,-20,230,1.5～12.4
9,氯苯,"无色透明液体，具有不愉
快的苦杏仁味",易燃,乙,28,590,1.3～9.6
10,硼氢化钾,白色结晶性粉末,易燃,甲,—,—,—
11,锌粉,浅灰色的细小粉末,可燃,乙,—,500,—
12,亚硝酸钠,"白色或淡黄色细结晶，无
臭，略有咸味，易潮解",助燃,乙,无意义,无意义,无意义
13,三氯甲烷,"无色透明重质液体，极易
挥发，有特殊气味",不燃,戊,无意义,无意义,无意义
14,盐酸,"无色或微黄色发烟液体，
有刺鼻的酸味",不燃,戊,无意义,无意义,无意义
15,溴,"暗红褐色发烟液体，有刺
鼻气味",助燃,乙,无意义,无意义,无意义
16,正磷酸,"纯磷酸为无色结晶，无臭，
具有酸味",助燃,戊,无意义,无意义,无意义
17,"4-氯苯甲酰
氯","无色或微黄色透明液体或
结晶",可燃,丙,105,—,—
18,氢氧化钾,白色晶体，易潮解，无臭,不燃,丁,无意义,无意义,无意义
19,氢氧化钠,"白色不透明固体，易潮解；
液碱为无色透明液体",不燃,丁,无意义,无意义,无意义
20,氯化锌,白色粉末，无臭，易潮解,不燃,戊,无意义,无意义,无意义
21,雷尼镍,细小的灰色粉末,可燃,"乙（活化
后甲类）",—,—,—
22,天然气,无色、无臭、无味气体,易燃,甲,-190,"482～
632",5～14
23,氟利昂R22,"无色气体，有轻微的发甜
气味",不燃,戊,无意义,无意义,无意义
24,柴油,稍有粘性的棕色液体,可燃,丙,＞60,"257（引
燃）",—
