"序
号",检查内容,依据,检查结果,结论
一、仓库建筑,,,,
1.1,"库房门应为铁门或木质外包铁皮，采用
外开式。",GB50016,均为外开式防火门。,符合
1.2,"仓库的耐火等级、层数和面积除本规范
另有规定者外，应符合《建筑设计防火
规范》表3.3.2的规定。","GB50016第
3.3.2条",符合要求。,符合
1.3,"储藏易燃易爆、毒害性等商品的库房，
应冬暖夏凉、干燥、易于通风、密封和
避光。","GB17914-2013
GB17915-2013
GB17916-2013","甲类仓库等设有通风
设施。",符合
二、防火防爆,,,,
2.1,"甲、乙、丙类液体仓库应设置防止液体
流散的设施。遇湿会发生燃烧爆炸的物
品仓库应设置防止水浸渍的措施。","GB50016
第3.6.11条","甲类仓库设有防液体
流散的设施。",符合
2.2,"建筑内可能散发可燃气体、可燃蒸气的
场所应设可燃气体报警装置。","GB50016第
11.4.2条","甲类仓库已安装可燃
气体检测报警仪。",符合
2.3,"甲、乙类物品库房和丙类液体库房的电
气装置，必须符合国家现行的有关爆炸
危险场所的电气安全规定。","《仓库防火安
全管理规则》","照明为防爆灯，线路
套管。",符合
2.4,"进入库区的所有机动车辆必须安装防火
罩。","《仓库防火安
全管理规则》",厂区已配备防火罩。,符合
2.5,汽车、拖拉机不得进入甲乙丙类库房。,"《仓库防火安
全管理规则》","汽车、拖拉机不进入
库房。",符合
2.6,"库房内不准设置移动式照明灯具。照明
灯具下方不准堆放物品,照明灯具垂直
下方与储存物品的水平间距不得小于
0.5m。","《仓库防火安
全管理规则》",无移动式照明灯具。,符合
