"序
号",建构筑物名称,"层
数","占地面
积m2","建筑面
积m2",结构,"耐火
等级","火险
类别",备注
5,6号楼,4,645,2274,框架,二级,甲类,"亚氨基二苄环合、浓
缩工段"
6,7号楼,3,625,1875,框架,二级,甲类,"亚氨基二苄精制回
收工段、苯扎贝特缩
合精制工段、普瑞巴
林生产车间"
7,8号楼,3,577,1731,框架,二级,甲类,"格列齐特酰亚胺还
原、亚油、亚油还原
工段和苯扎贝特酰
化工段"
8,9号楼,3,577,1731,框架,二级,甲类,"格列齐特合成、缩
合、废水浓缩工段"
9,10号楼,2,597,2388,框架,二级,甲类,"亚氨基二苄精制、10-
甲氧基亚氨芪水解、
精制、回收工序"
10,油炉房,1,144,144,框架,二级,丙类,导热油炉供热
11,RTO装置,1,280,280,—,—,—,有机废气处理
12,"废水处理中心
及厕所",2,180,360,框架,二级,丁类,
13,"甲类罐区及泵
区",—,960,960,框架,二级,甲类,"甲醇、甲苯、乙醇、
乙酸乙酯、液碱、盐
酸等储存"
14,"固废仓库
（22号楼）",1,237.5,237.5,框架,二级,丙类,固废储存
15,"甲类仓库
（15号楼）",1,"383
（使用
面积：
175.9）",383,框架,二级,甲类,"西侧、南侧闲置，北
侧分为六个防火分
区，由西向东依次储
存硼氢化钾(易制爆，
甲4)、四氢呋喃和氯
苯、雷尼镍(甲3)、
锌粉(易制爆)、亚硝
酸钠、危险废物"
16,"10-甲氧基亚
氨芪溴化车间
（14号楼）",3,361,1083,框架,二级,甲类,"10-甲氧基亚氨芪溴
化工段"
17,"废水预处理车
间（13号楼）",3,361,1083,框架,二级,甲类,废水预处理工段
18,"闲置废水预处
理车间
（12号楼）",3,425,1225,框架,二级,甲类,暂时闲置
19,"公用工程车间
二（21、20号
楼）",2/1,734,1240,框架,二级,丙类,"发电机房、高压配电
房、空压、制氮等"
20,"公用工程楼一
（19号楼）",2/1,221,331,框架,二级,丙类,"氟利昂制冷、变配电
等"
