"序
号",原辅料名称,"年用量
（t/a）","最大储量
（t）","周转天
数（D）","主要储存
地点","贮存
方式",备注
12,锌粉,60,10,40,甲类仓库,桶装,易制爆隔间
13,硼氢化钾,50,5,7,甲类仓库,桶装,易制爆隔间
14,雷尼镍,10,2,30,甲类仓库,桶装,
15,对甲苯磺酰脲,56,10,44,仓库一,袋装,
16,工业盐酸,450,51,30,储罐区,储罐,
17,液碱,1240,180,21,储罐区,储罐,
18,甲苯,316,63,39,储罐区,储罐,
19,乙醇,200,92,46,储罐区,储罐,
20,四氢呋喃,20,6,50,甲类仓库,桶装,
21,甲醇,900,68,9,储罐区,储罐,
22,二硝基二苄,2400,200,20,仓库一,袋装,
23,多聚磷酸,1600,45,10,6号楼北,储罐,
24,酰氯化物,220,25,22,综合仓库,袋装,
25,溴素,320,40,32,"10-甲氧基
亚氨芪溴化
车间北",储罐,"储罐储存系
数0.8"
26,氯苯,61,3,15,甲类仓库,桶装,
27,氢氧化钾,440,50,18,综合仓库,袋装,
28,活性炭,18,3,22,仓库一,袋装,
29,氟利昂R22,1,0.5,/,制冷机房,钢瓶,制冷剂
30,柴油（燃油）,/,22,/,储罐区,储罐,柴油机备用
31,天然气（燃气）,/,城镇燃气，管输供气,,/,管输,
