,"（八）法律、行政法规规定的其他场所、设
施、区域。",,,
3,"企业总体布局是否符合《化工企业总图运输
设计规范》（GB50489）、《工业企业总平面设
计规范》（GB50187）、《建筑设计防火规范》
（GB50016）等标准。
石油化工企业是否符合《石油化工企业设计
防火规范》（GB50160）。","符合《建筑设计防火规
范》等规范标准要求。",符合,
4,"同一厂区内的设备、设施及建（构）筑物的
布置是否适用同一标准规定。","适用同一规范：《建筑
设计防火规范》。",符合,
二、企业设备设施工艺的安全可靠性,,,,
5,"新建、改建、扩建建设项目是否经具备国家
规定资质的单位设计、制造和施工建设；涉
及危险化工工艺、重点监管危险化学品的装
置，是否由具有综合甲级资质或者化工石化
医药行业专业甲级设计资质的设计单位设
计。","企业新建的建设项目
由具有相应资质的单
位设计、施工。",符合,
6,"是否采用和使用国家明令淘汰、禁止使用的
工艺、设备。","未采用和使用淘汰、禁
止使用的工艺、设备。",符合,
7,"新开发的危险化学品生产工艺是否在小试、
中试、工业化试验的基础上逐步放大到工业
化生产；国内首次使用的化工工艺，必须经
过省安全生产监督管理局组织的安全可靠
性专家论证。",不适用。,不适用,
8,"涉及危险化工工艺、重点监管危险化学品的
装置是否装设自动化控制系统；涉及危险化
工工艺的大型化工装置装设紧急停车系统；
涉及易燃易爆、有毒有害气体化学品的场所
是否装设易燃易爆、有毒有害介质泄漏报警
等安全设施。","生产装置设有 DCS 控
制系统，有泄漏报警等
安全设施。",符合,
9,"生产区与非生产区是否分开设置，并符合国
家标准或者行业标准规定的距离。","符合《建筑设计防火规
范》等规范标准要求。",符合,
10,"危险化学品生产装置和储存设施之间及其
与建（构）筑物之间的距离是否符合有关标
准规范的规定。","符合《建筑设计防火规
范》要求。",符合,
三、安全生产管理制度,,,,
11,"是否建立健全主要负责人、分管负责人、安
全生产管理人员、职能部门、岗位的全员安
全生产责任制，明确岗位安全生产责任。",建立安全生产责任制。,符合,
12,"是否根据实际情况，制定下列安全生产制
度：安全生产工作例会等安全生产会议制
度，安全投入保障制度，安全生产奖惩制度，
安全培训教育制度，领导干部现场带班制
度，特种作业人员管理制度，安全检查和隐
患排查治理制度，重大危险源评估和安全管
理制度，变更管理制度，应急管理制度，生
产安全事故或者重大事件的调查和报告处
理制度，防火、防爆、防中毒、防泄漏管理
制度，工艺、设备、电气仪表、公用工程安","建立了一套安全管理
制度。",符合,
