乙酸乙酯,,
"标
识",中文名：,乙酸乙酯；醋酸乙酯
,英文名：,Ethyl acetate；Acetic ester
,分子式：,"C H O
4 8 2"
,分子量：,88.1
,CAS号：,141-78-6
,RTECS号：,AH5425000
,UN/CN号：,1173/32127
,危险化学品序号：,2651
,特殊事项：,重点监管；重大危险源临界量：500t
,IMDG规则页码：,3220
"理
化
性
质",外观与性状：,无色澄清液体，有芳香气味，易挥发。
,主要用途：,用途很广。主要用作溶剂，及用于染料和一些医药中间体的合成。
,熔点：,-83.6
,沸点：,77.2
,相对密度(水=1)：,0.90
,相对密度(空气=1):,3.04
,饱和蒸汽压(kPa)：,13.33/27℃
,溶解性：,微溶于水，溶于氯仿、丙酮、醇、醚等多数有机溶剂。
,临界温度(℃)：,250.1
,临界压力(MPa)：,3.83 最大爆炸压力(MPa)：0.850
,燃烧热(kj/mol)：,2244.2
"燃
烧
爆
炸
危
险
性",避免接触的条件：,
,燃烧性：,易燃
,建规火险类别：,甲
,闪点(℃)：,-4℃闭杯；13℃开杯
,自燃温度(℃)：,426℃
,爆炸下限(V%)：,2.0
