"序
号",设备名称,使用证编号,使用部门,内部编号,材质,规格型号,"外部
检验日期","下次外部
检验日期"
115,反应罐罐身,容17浙J21020（22）,10号楼二车间精制二楼,103-R601-1,搪玻璃,KR3000,2022/9/1,2025/8/31
116,反应罐罐身,容17浙J21021（22）,10号楼二车间精制二楼,103-R601-2,搪玻璃,KR3000,2022/9/13,2025/9/12
117,反应罐,容15浙J26263(23),10号楼二车间精制二楼,103-R602-1,不锈钢,3000L,2023/6/6,2026/6/5
118,反应罐,容15浙J26264(23),10号楼二车间精制二楼,103-R602-2,不锈钢,3000L,2023/6/6,2026/6/5
119,溶解过滤器,容15浙J24367（22）,10号楼二车间精制二楼,103-X615,不锈钢,2000L,2022/8/24,2025/8/23
120,搪玻璃反应釜,容17浙JOA814(17),10号楼二车间精环二楼,103-R702,搪玻璃,3000L,2022/2/20,2025/3/20
121,搪玻璃开式反应罐,容15浙J22700(22),10号楼二车间二楼,R702,搪玻璃,3000L,2021/9/15,2024/9/14
122,不锈钢反应罐,容15浙J21929(22),10号楼三车间四楼,101-R401-1,不锈钢,2000L,2021/4/29,2024/4/28
123,不锈钢反应罐,容15浙J21930(22),10号楼三车间四楼,101-R401-2,不锈钢,2000L,2021/4/29,2024/4/28
124,搪玻璃开式反应罐,容15浙J21917(22),10号楼三车间四楼,101-R402-1,搪玻璃,2000L,2021/4/30,2024/4/29
125,搪玻璃开式反应罐,容15浙J21918(22),10号楼三车间四楼,101-R402-2,搪玻璃,2000L,2021/5/22,2024/5/21
126,不锈钢反应罐,容15浙J21931(22),10号楼三车间四楼,101-R403-1,不锈钢,4200L,2021/4/29,2024/4/28
127,不锈钢反应罐,容15浙J21932(22),10号楼三车间四楼,101-R403-2,不锈钢,4200L,2021/4/29,2024/4/28
128,不锈钢反应罐,容15浙J21933(22),10号楼三车间四楼,101-R403-3,不锈钢,4200L,2021/4/29,2024/4/28
129,不锈钢反应罐,容15浙J21934(22),10号楼三车间四楼,101-R403-4,不锈钢,4200L,2021/4/29,2024/4/28
130,不锈钢反应罐,容15浙J21935(22),10号楼三车间四楼,101-R403-5,不锈钢,4200L,2021/4/29,2024/4/28
131,不锈钢反应罐,容15浙J21936(22),10号楼三车间四楼,101-R403-6,不锈钢,4200L,2021/4/29,2024/4/28
132,不锈钢反应罐,容15浙J21937(22),10号楼三车间四楼,101-R404,不锈钢,3500L,2021/4/29,2024/4/28
133,不锈钢锥底反应罐,容15浙J21938(22),10号楼三车间四楼,101-R405-1,不锈钢,3500L,2021/5/6,2024/5/5
134,不锈钢锥底反应罐,容15浙J21939(22),10号楼三车间四楼,101-R405-2,不锈钢,3500L,2021/5/6,2024/5/5
135,不锈钢锥底反应罐,容15浙J21940(22),10号楼三车间四楼,101-R406,不锈钢,4000L,2021/4/26,2024/4/25
136,不锈钢锥底反应罐,容15浙J21941(22),10号楼三车间四楼,101-R407,不锈钢,4000L,2021/4/26,2024/4/22
137,搪玻璃开式反应罐,容15浙J21919(22),10号楼三车间四楼,101-R601,搪玻璃,3000L,2021/4/29,2024/4/28
