"序
号",物质名称,"危化品
序号",CAS,危险性类别,备注
8,四氢呋喃,2071,109-99-9,"易燃液体，类别2
严重眼损伤/眼刺激，类别2
致癌性，类别2
特异性靶器官毒性-一次接触，类别3（呼
吸道刺激）",
9,氯苯,1414,108-90-7,"易燃液体，类别3
危害水生环境-急性危害，类别2
危害水生环境-长期危害，类别2",重点监管
10,硼氢化钾,1605,13762-51-1,"遇水放出易燃气体的物质和混合物，类
别1
急性毒性-经口，类别3
急性毒性-经皮，类别3",易制爆
11,锌粉,2358,7740-66-6,"自热物质和混合物，类别1
遇水放出易燃气体的物质和混合物，类
别1
危害水生环境-急性危害，类别1
危害水生环境-长期危害，类别1",易制爆
12,亚硝酸钠,2492,7632-00-0,"氧化性固体，类别3
急性毒性-经口，类别3*
危害水生环境-急性危害，类别1","重点监
管、第二
类易制毒"
13,"三氯甲烷
（氯仿）",1852,67-66-3,"急性毒性-吸入，类别3
皮肤腐蚀/刺激，类别2
严重眼损伤/眼刺激，类别2
致癌性，类别2
生殖毒性，类别2
特异性靶器官毒性-反复接触，类别1",
14,盐酸,2507,7647-01-0,"皮肤腐蚀/刺激，类别1B
严重眼损伤/眼刺激，类别1
特异性靶器官毒性-一次接触，类别3（呼
吸道刺激）
危害水生环境-急性危害，类别2","第三类易
制毒"
15,溴,2361,7726-95-6,"急性毒性-吸入，类别2*
皮肤腐蚀/刺激，类别1A
严重眼损伤/眼刺激，类别1
危害水生环境-急性危害，类别1","第二类易
制毒"
16,正磷酸,2790,7664-38-2,"皮肤腐蚀/刺激，类别1B
严重眼损伤/眼刺激，类别1",
17,"4-氯苯甲酰氯
（对氯苯甲酰
氯）",1426,122-01-0,"皮肤腐蚀/刺激，类别1
严重眼损伤/眼刺激，类别1",
18,氢氧化钾,1667,1310-58-3,"皮肤腐蚀/刺激,类别1A
严重眼损伤/眼刺激,类别1",
19,"氢氧化钠及其
溶液",1669,1310-73-2,"皮肤腐蚀/刺激,类别1A
严重眼损伤/眼刺激,类别1",
,氯化锌,,,"皮肤腐蚀/刺激，类别1B
严重眼损伤/眼刺激，类别1
特异性靶器官毒性-一次接触，类别3（呼
吸道刺激）",
