,南,门卫,10,12.5,符合,
,西,办公楼,25,16.3,"符合安全
生产要求","10号楼相邻侧为防火
墙；办公楼内东侧闲
置9m的房间"
,北,9号楼（甲）,12,12.1,符合,"室外设备距9号楼
9.1m，9号楼邻侧已设
防火墙及防火门窗"
"甲类仓库
（甲3，4项
＞5t）",东,空地,—,—,——,
,南,14号楼（甲）,20,20.3,符合,"至14号楼溴素罐，甲
类仓库西侧、南侧部分
库房闲置"
,西,"公用工程车间二
（丙）",20,20.6,符合,"甲类仓库西侧、南侧部
分库房闲置"
,,固废仓库（丙）,20,19.8,"符合安全
生产要求","甲类仓库西侧库房闲
置，相邻侧为防火墙"
,北,甲类罐区（甲）,20,26.2,符合,
"甲类罐区
（甲）",东,空地,—,—,——,
,南,甲类仓库（甲）,25,26.2,符合,
,,罐区泵区（甲）,—,—,——,露天
,,固废仓库（丙）,20,21.7,符合,
,西,三废水池（戊）,—,—,——,
,北,十条沟（厂外）,—,—,——,
"14号楼（10-
甲氧基亚氨
芪溴化车
间，甲）",东,"四维闲置固废库
（丙）",—,7,——,闲置
,南,"废水预处理车间
车间（甲）",12,12.1,符合,
,西,"公用工程车间二
（丙）",12,12.9,符合,
,北,甲类仓库（甲）,20,20.3,符合,"至14号楼溴素罐，甲
类仓库西侧、南侧部分
库房闲置"
"13号楼（废水
预处理车间
车间，甲）",东,"相邻企业固废仓
库（闲置）",—,5.2,——,闲置
,南,12号楼（甲）,12,12.8,符合,闲置
,西,"公用工程车间一
（丙）",12,12.9,符合,
,北,14号楼（甲）,12,12.1,符合,
总控室,东,空地,—,—,——,
,南,空地,—,—,——,
,西,空地,—,—,——,
,北,办公楼,10,3.1,"符合安全
生产要求","总控室相邻（北）侧设
防火墙"
,,3号楼（甲）,12,＞40,符合,按GB50160
