,界；③管道泵及其过滤器、缓冲器等。,,,
8,安全技术装备,,,
8.1,"新建大型和危险程度高的化工生产装置，
在设计阶段要进行仪表系统安全完整性等
级评估，选用安全可靠的仪表、检测报警
系统以及可实现化工装置过程联锁控制、
紧急停车功能的自动化安全控制系统，提
高装置安全可靠性。
重点危险化学品企业（剧毒化学品、易燃
易爆化学品生产企业和涉及危险工艺的企
业）要积极采用新技术，改造提升现有装
置以满足安全生产的需要。工艺技术自动
化控制水平低的重点危险化学品企业要制
定技术改造计划，尽快完成自动化安全控
制系统改造，提高生产装置本质安全水平。","《浙江省化工行
业生产管理规范
指导意见》
第三十七条",符合,"涉及重点监管的
危险工艺的装置
设置有相应的自
动化安全控制系
统及监控措施。"
8.2,"容易发生泄漏的易燃、易爆、剧毒物品生
产装置应设有能迅速停止进料、防止泄漏
的安全连锁设施，并具有捕集流失危险物
品的措施。","《浙江省化工行
业生产管理规范
指导意见》
第四十条",符合,"有相应的安全连
锁设施。"
8.3,"可燃气体压缩机、液化烃、可燃液体泵不
得使用皮带传动；在爆炸危险区范围内的
其他转动设备若必须使用皮带传动时，应
采用防静电皮带。","《浙江省化工行
业生产管理规范
指导意见》
第四十九条",符合,"泵的选择符合规
范要求。"
8.4,"应防止工作人员直接接触具有或能产生危
险和有害因素的设备、设施、生产物料、
产品和剩余物料。",GB/T12801-2008,符合,"有相应的防止工
作人员直接接触
的措施。"
8.5,"对产生危险和有害因素的生产过程应合理
地采用机械化、自动化和计算机技术，实
现遥控或隔离操作。",,符合,"采用自动化控制
系统进行生产。"
8.6,"工艺装置区移动式消防设施的配置符合标
准要求。消火栓的设置应满足标准要求。","GB50016-2014
GB50140-2005",符合,"按规范要求设置
了消防器材。"
8.7,"应为作业人员提供符合标准要求的个体防
护用品和器具。防护器具定点存放，并有
专人负责保管，定期校验和维护。",,符合,"作业人员配备劳
动防护用品。"
8.8,"充分认识生产中的危险、危害，并考虑了
正常停开车、正常生产操作、异常生产操
作处理及紧急事故处理时的安全对策措施
和设施。",,符合,"员工了解生产过
程中存在的危
险、危害及应急
处置措施。"
9,电气、照明设施,,,
9.1,"车间、仓库等危险场所的照明、电器均应
采用防爆电器。",GB50058-2014,符合,"甲乙类车间和仓
库中的灯具、开
关、通风扇为防
爆电器。"
9.2,"爆炸或火灾危险环境内电气设备和仪表等
的电力设计应符合《爆炸和火灾危险环境
电力装置设计规范》的要求。",SH3047-93,符合,"爆炸危险环境内
电气设备均为防
爆型。"
