"序
号",检查内容,检查依据,"检查
结果",备注
1,"危险废物产生单位内部自行从事的危险废物
收集、贮存、运输活动应遵照国家相关管理规
定，建立健全规章制度及操作规程，确保该过
程的安全、可靠。",HJ2025-2012,符合,"已制定相关安全操
作规程。"
2,"危险废物收集、贮存、运输单位应建立规范的
管理和技术人员培训制度，定期针对管理和技
术人员进行培训。",HJ2025-2012,符合,有相关制度内容。
3,"危险废物收集、贮存、运输单位应编制应急预
案。",HJ2025-2012,符合,"已制定危险固废专
项应急预案。"
4,"危险废物收集和转运作业人员应根据工作需
要配备必要的个人防护装备，如手套、防护镜、
防护服、口罩等。",HJ2025-2012,符合,"已配备个体防护用
品。"
5,"危险废物贮存设施应配备通信设备、照明设
施、消防设施。",HJ2025-2012,符合,配备通信设备。
6,"贮存危险废物时应按危险废物的种类和特性
进行分区贮存，每个贮存区域之间宜设置挡墙
间隔，并设置防雨、防火、防雷、防扬尘设置。",HJ2025-2012,符合,分区存放。
7,"贮存易燃易爆危险废物应配置有机气体报警、
火灾报警装置和导出静电的接地装置。",HJ2025-2012,符合,按此要求。
8,"固废储存设施场所需张贴危险废物警告标志
和危险废物标签。",GB15562.2-1995,符合,"有警告标志和危险
废物标签。"
9,"产生、收集、贮存、利用、处置危险废物的单
位应建造危险废物贮存设施或设置贮存场所，
并根据需要选择贮存设施类型。","GB18597-2023
第4.1条",符合,"设置专用的危废仓
库。"
10,"贮存设施应根据危险废物的形态、物理化学性
质、包装形式和污染物迁移途径，采取必要的
防风、防晒、防雨、防漏、防渗、防腐以及其
他环境污染防治措施，不应露天堆放危险废
物。","GB18597-2023
第6.1.1条",符合,"设置专用的危废仓
库。"
11,"贮存设施应根据危险废物的类别、数量、形态、
物理化学性质和污染防治等要求设置必要的
贮存分区，避免不相容的危险废物接触、混合。","GB18597-2023
第6.1.2条",符合,分区储存。
12,"贮存设施或贮存分区内地面、墙面裙脚、堵截
泄漏的围堰、接触危险废物的隔板和墙体等应
采用坚固的材料建造，表面无裂缝。","GB18597-2023
第6.1.3条",符合,"危废仓库符合要
求。"
13,"贮存场应采取防止危险废物扬散、流失的措
施。","GB18597-2023
第6.3.3条",符合,设置防流散措施。
14,"容器和包装物材质、内衬应与盛装的危险废物
相容。","GB18597-2023
第7.1条",符合,包装符合要求。
