天然气[富含甲烷的],,
"标
识",中文名：,天然气；沼气
,英文名：,Natural gas
,分子式：,
,分子量：,16.04（甲烷）
,CAS号：,8006-14-2
,RTECS号：,
,UN/CN号：,1971/21007[含甲烷的；压缩的]；1972/21008[含甲烷的；液化的]
,危险化学品序号：,2123
,特殊事项：,重点监管；第三类特别管控（仅LNG）；重大危险源临界量：50t
,IMDG规则页码：,
"理
化
性
质",外观与性状：,无色、无臭、无味气体。
,主要用途：,"是重要的有机化工原料，可用作制造炭黑、合成氨、甲醇以及其它
有机化合物，亦是优良的燃料。"
,熔点：,-182.5℃（甲烷）
,沸点：,-161.5℃
,相对密度(水=1)：,0.42/-164℃
,相对密度(空气=1):,0.6（甲烷）
,饱和蒸汽压(kPa)：,53.32（-168.8℃，甲烷）
,溶解性：,溶于水。
,临界温度(℃)：,-82.6（甲烷）
,临界压力(MPa)：,
,燃烧热(kj/mol)：,
"燃
烧
爆
炸
危
险
性",避免接触的条件：,
,燃烧性：,易燃。最大爆炸压力：(100kPa)：6.8
,建规火险类别：,甲
,闪点(℃)：,-188
,自燃温度(℃)：,537
,爆炸下限(V%)：,5.0
,爆炸上限(V%)：,16
,危险特性：,"与空气混合能形成爆炸性混合物，遇明火、高热极易燃烧爆炸。与
氟、氯等能发生剧烈的化学反应。其蒸气比空气轻，比空气轻而容
易发散，易在封闭环境里聚集，遇明火会引着回燃。若遇高热，容
器内压增大，有开裂和爆炸的危险。"
,燃烧(分解)产物：,一氧化碳、二氧化碳。
,稳定性：,稳定
,聚合危害：,不能出现
,禁忌物：,强氧化剂、卤素。
