工序,投入,,产出,
,物料名称,kg,物料名称,kg
亚油岗位,甲苯四氢呋喃混合液,1100,回收四氢呋喃,710
,酰亚胺,150,蒸馏残液,2000
,氯化锌,400,氮杂环回收甲苯,1800
,硼氢化钾,130,蒸馏废水,2100
,亚油还原回收液碱,3600,亚油母液,600
,盐酸,150,亚油,150
,氮杂环回收甲苯,1500,,
,亚硝酸钠,120,,
,水,160,,
,盐酸,50,,
,合计,7360,合计,7360
杂环岗位,亚油,150,亚油还原回收液碱,3300
,锌粉,150,亚油还原回收甲苯,1550
,盐酸,810,蒸馏废水,230
,生活饮用水,150,回收氨基杂环母液乙醇,260
,液碱,2250,N-氨基杂环盐酸盐,145
,甲苯,1600,,
,试剂盐酸,105,,
,无水乙醇,270,,
,合计,5485,合计,5485
粗品岗位,"乙酸乙酯（或粗品二次回收乙
酸乙酯）",1500*2,格列齐特粗品,560
,N-氨基杂环盐酸盐,150*2,废气,10
,对甲苯磺酰脲（8B）,200*2,废水,6500
,"乙酸乙酯（或粗品二次回收乙
酸乙酯）",380,粗品回收乙酸乙酯,2850
