序号,气体浓度探测器检测气体类型,配置地点,备注
174,可燃气体探测器,甲类库,
175,可燃气体探测器,甲类库,
176,可燃气体探测器,14#三层R105-3旁,
177,可燃气体探测器,14#三层E201-1旁,
178,可燃气体探测器,14#-层V301旁,
179,可燃气体探测器,14#二层V101-2旁,
180,氢气气体探测器,甲类库,
181,可燃气体探测器,罐区V016甲苯储罐外围墙,
182,可燃气体探测器,罐区V011氯仿储罐外围墙,
183,可燃气体探测器,罐区V011氯仿储罐外围墙,
184,可燃气体探测器,罐区V007丙酮储罐外围墙,
185,可燃气体探测器,罐区泵P006旁,
186,有毒气体探测器,罐区泵P012旁,
187,可燃气体探测器,罐区泵P013旁,
188,可燃气体探测器,罐区泵P016旁,
189,可燃气体探测器,14#二层R101-2旁,
190,氧气气体探测器,14#-层离心间,
191,可燃气体探测器,14#-层离心间,
192,可燃气体探测器,14#-层V119旁,
193,可燃气体探测器,14#-层T301旁,
194,可燃气体探测器,14#二层T301旁,
195,有毒气体探测器,14#-层R101-1旁,
196,有毒气体探测器,14#-层R101-3旁,
197,有毒气体探测器,14#吸收塔T001旁,
198,可燃气体探测器,14#三层R203旁,
199,氧气气体探测器,19#二层氮气站07-V203边,
200,可燃气体探测器,3#-层东,
201,可燃气体探测器,3#-层中柱,
202,可燃气体探测器,3#二层T201D顶梁,
203,可燃气体探测器,3#-层V203-1旁,
204,可燃气体探测器,3#-层C101旁,
205,可燃气体探测器,3#-层P102A旁,
206,可燃气体探测器,3#二层V201旁,
207,可燃气体探测器,3#二层加氢分气缸南顶梁,
208,可燃气体探测器,3#二层R202-4旁,
209,氢气气体探测器,3#二层R202-1顶梁,
210,可燃气体探测器,3#二层R202-4顶梁,
211,氢气气体探测器,3#二层R202-5顶梁东,
