,燃烧(分解)产物：,水。
,稳定性：,稳定
,聚合危害：,不能出现
,禁忌物：,强氧化剂、卤素。
,灭火方法：,"切断气源。若不能立即切断气源，则不允许熄灭正在燃烧的气体。
喷水冷却容器，可能的话将容器从火场移至空旷处。雾状水、二氧
化碳。"
"包
装
与
储
运",危险性类别：,"易燃气体，类别1
加压气体"
,危险货物包装标志：,2
,包装类别：,Ⅱ
,储运注意事项：,"易燃压缩气体。储存于阴凉、通风仓间内。仓温不宜超过 30℃。远
离火种、热源。防止阳光直射。应与氧气、压缩空气、卤素(氟、氯、
溴)、氧化剂等分开存放。切忌混储混运。储存间内的照明、通风等
设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器
材。禁止使用易产生火花的机械设备和工具。验收时要注意品名，
注意验瓶日期，先进仓的先发用。搬运时轻装轻卸，防止钢瓶及附
件破损。
废弃：根据国家和地方有关法规的要求处置。或与厂商或制造商联
系，确定处置方法。
包装方法：钢质气瓶。
ERG指南：115 ERG指南分类：气体—易燃(包括冷冻液化液体)"
"毒
性
危
害",接触限值：,未制定标准
,侵入途径：,吸入
,毒性：,
,健康危害：,"在很高的浓度时，由于正常氧分压的降低造成窒息；在很高的分压
下，可出现麻醉作用。接触液体可引起冻伤。
健康危害(蓝色)：0"
"急
救",皮肤接触：,"脱去并隔离被污染的衣服和鞋。对少量皮肤接触，避免将物质播散
面积扩大。"
,眼睛接触：,如果皮肤或眼睛接触该物质，应立即用清水冲洗至少20min。
,吸入：,"迅速脱离现场至空气新鲜处。保持呼吸道通畅。呼吸困难时给输氧。
呼吸停止时，立即进行人工呼吸。就医。"
,食入：,"注意患者保暖并且保持安静。吸入、食入或皮肤接触该物质可引起
迟发反应。确保医务人员了解该物质相关的个体防护知识，注意自
身防护。"
"防
护
措
施",工程控制：,密闭操作。提供良好的自然通风条件。
,呼吸系统防护：,高浓度环境中，佩带供气式呼吸器或自给式呼吸器。
,眼睛防护：,一般不需特殊防护。
,防护服：,穿工作服。
,手防护：,一般不需特殊防护。
,其他：,"工作现场严禁吸烟。避免高浓度吸入。进入罐或其它高浓度区作业，
须有人监护。"
泄漏处置：,,"迅速撤离泄漏污染区人员至上风处，并隔离直至气体散尽，切断火
源。建议应急处理人员戴自给式呼吸器，穿一般消防防护服。切断
气源，抽排(室内)或强力通风(室外)。如有可能，将漏出气用排风机"
