"烧
爆
炸
危
险
性",燃烧性：,不燃
,建规火险类别：,戊
,闪点(℃)：,无意义
,自燃温度(℃)：,无意义
,爆炸下限(V%)：,无意义
,爆炸上限(V%)：,无意义
,危险特性：,"能与一些活性金属粉末发生反应，放出氢气。遇氰化物能产生剧毒的
氰化氢气体。与碱发生中合反应，并放出大量的热。具有较强的腐蚀
性。与乙酸酐、脂肪胺类、链烷醇胺类、烯基氧化物、芳香胺类、氨
基化合物、2-氨基乙醇、氨、氢氧化氨、二磷化三钙、氯磺酸、乙撑
二胺、二甲亚胺、环氧氯丙烷、异氰酸酯类、乙炔基金属、发烟硫酸、
有机酸酐、高氯酸、3-丙内酯、磷化铀、硫酸、氢氧化钠及其他碱类、
强氧化剂、醋酸乙烯酯及二氟乙烯接触发生反应。接触绝大多数金属，
放出易燃氢气。腐蚀某些塑料、橡胶和涂料。
易燃性(红色)：0 化学活性(黄色)：0 健康危害(蓝色)：3"
,燃烧(分解)产物：,氯化氢。
,稳定性：,稳定
,聚合危害：,不能出现
,禁忌物：,碱类、胺类、碱金属、易燃或可燃物。
,灭火方法：,"雾状水、砂土。消防器具(包括 SCBA)不能提供足够有效的防护。若
不小心接触，立即撤离现场，隔离器具，对人员彻底清污。蒸气比空
气重，易在低处聚集。封闭区域内的蒸气遇火能爆炸。蒸气能扩散到
远处，遇点火源着火，并引起回燃。储存容器及其部件可能向四面八
方飞射很远。如果该物质或被污染的流体进入水路，通知有潜在水体
污染的下游用户，通知地方卫生、消防官员和污染控制部门。若不能
切断气源，则不允许熄灭泄漏处的火焰。受过特殊培训的人员可以利
用喷雾水流冷却周围暴露物，让火自行烧尽。在安全防爆距离以外，
使用雾状水冷却暴露的容器。若冷却水流不起作用(排放音量、音调
升高，罐体变色或有任何变形的迹象)，立即撤离到安全区域。"
"包
装
与
储
运",危险性类别：,"皮肤腐蚀/刺激，类别1B
严重眼损伤/眼刺激，类别1
特异性靶器官毒性-一次接触，类别3（呼吸道刺激）
危害水生环境-急性危害，类别2"
,危险货物包装标志：,8
,包装类别：,Ⅱ
,储运注意事项：,"储存于阴凉、干燥、通风处。应与碱类、金属粉末、卤素(氟、氯、
溴)、易燃、可燃物等分开存放。不可混储混运。搬运时要轻装轻卸，
防止包装及容器损坏。分装和搬运作业要注意个人防护。运输按规定
路线行驶。
废弃：处置前参阅国家和地方有关法规。废物储存参见“储运注意事
项”。用碱液－石灰水中和，生成氯化钠和氯化钙，用水稀释后排入
下水道。
包装方法：螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）
外木板箱；耐酸坛、陶瓷罐外木箱或半花格箱。
ERG指南：125(无水的)；157(溶液)；125(冷冻)
ERG指南分类：125：气体—腐蚀性的；
157：有毒和/或腐蚀性物质(不燃/遇水反应的)"
