序名,设备名称,,规格型号,安装位置,设备编号,备注
15,反应罐,,500L,二楼,131-18409-5,搪玻璃
16,反应罐,,KR500,二楼,131-18409-6,搪玻璃
17,反应罐,,KR1000,二楼,131-18413-3,搪玻璃
18,储罐,,100L,二楼,131-18520,不锈钢
19,亚油反应罐,,KR2000,三楼,131-18401-3,搪玻璃
20,反应罐,,KR2000,三楼,131-18405-3,搪玻璃
21,盐酸储罐,,200L,三楼,131-18407-3,喷涂F4
22,储罐,,1200L,三楼,131-18408-3,碳钢
23,立式储罐,,1000L,三楼,131-18423-3,搪玻璃
,,,13号楼一车间（,废水处理）,,
1,蒸馏塔,,1000L,一楼,132-T202,不锈钢304
2,真空缓冲罐,,500L,一楼,132-V102-3,不锈钢
3,卧式储罐,,300L,一楼,132-V104,不锈钢
4,冷却罐,,600L,一楼,132-V106,S30408
5,空气储罐,,300L,一楼,132-V111,不锈钢304
6,泄爆罐,,600L,一楼,132-V201,不锈钢
7,氮气缓冲罐,,1000L,一楼,132-V202,碳钢
8,新鲜甲醇储罐,,5000L,一楼,132-V204,不锈钢304
9,甲醇水封罐,,500L,一楼,132-V205,碳钢
10,甲醇套用储罐,,8000L,一楼,132-V206,不锈钢304
11,水洗蒸馏前储罐,,5000L,一楼,132-V207,不锈钢304
12,树脂吸附出水缓冲,,,一楼,,
,罐,,2000L,,132-V211,PP
13,液碱加药桶,,1000L,一楼,132-V212,碳钢
14,卧式储罐,,2000L,一楼,132-V215,不锈钢
15,卧式储罐,,5000L,一楼,132-V216,不锈钢
16,反应釜,,20000L,二楼,132-R201A,搪玻璃
17,反应釜,,20000L,二楼,132-R201B,搪玻璃
18,蒸馏罐,,5000L,二楼,132-R202,搪玻璃
19,树脂吸附塔,φ,1000×3400,二楼,132-T201A,钢衬PO
20,树脂吸附塔,φ,1000×3400,二楼,132-T201B,钢衬PO
21,树脂吸附塔,φ,1000×3400,二楼,132-T201C,钢衬PO
22,新鲜甲醇补充罐,,1000L,二楼,132-V203,不锈钢
23,水洗套用储罐,,8000L,二楼,132-V208,PP
24,清洗水储罐,,5000L,二楼,132-V209,PP
25,水洗甲醇储罐,,5000L,二楼,132-V210,PP
26,储罐,,600L,二楼,132-V213,不锈钢304
27,计量罐,,1000L,二楼,132-V214,不锈钢
28,反应罐,,2000L,三楼,132-R301,不锈钢
