名,设备名称,规格型号,安装位置,设备编号,备注
28,搪玻璃反应釜,500L、79标,一楼,142-V122,搪玻璃
29,立式储罐,1000L,一楼,142-V123,搪玻璃
30,卧式储罐,300L,一楼,142-V124,不锈钢衬四氟
31,搪玻璃反应罐,1000L,一楼,142-V127,搪玻璃
32,搪玻璃罐,2000L,一楼,142-V301,搪玻璃
33,立式储罐,2000L,一楼,142-V305-1,不锈钢
34,立式储罐,2000L,一楼,142-V305-2,不锈钢
35,储罐,1000L,一楼,142-V307,不锈钢
36,储罐,1000L,一楼,142-V308,碳钢
37,搪玻璃罐,1000L,一楼,142-V309,搪玻璃
38,立式计量罐,2000L,一楼,142-V310,不锈钢
39,搪玻璃反应罐,KR2000、79标,二楼,142-R101-1,搪玻璃
40,搪玻璃反应罐,KR2000、79标,二楼,142-R101-2,搪玻璃
41,搪玻璃反应罐,KR2000、79标,二楼,142-R101-3,搪玻璃
42,搪玻璃反应罐,KR2000、79标,二楼,142-R102-1,搪玻璃
43,搪玻璃反应罐,KR2000、79标,二楼,142-R102-2,搪玻璃
44,搪玻璃反应罐,KR2000、79标,二楼,142-R102-3,搪玻璃
45,搪玻璃反应罐,5000L,二楼,142-R103,搪玻璃
46,搪玻璃反应罐,KR2000,二楼,142-R106-1,搪玻璃
47,搪玻璃反应罐,KR2000,二楼,142-R106-2,搪玻璃
48,搪玻璃反应罐,KR2000,二楼,142-R106-3,搪玻璃
49,搪玻璃反应罐,KR2000,二楼,142-R301,搪玻璃
50,搪玻璃反应罐,KR3000,二楼,142-R302,搪玻璃
51,搪玻璃储罐,300L,二楼,142-V101-1,搪玻璃
52,搪玻璃储罐,300L,二楼,142-V101-2,搪玻璃
53,搪玻璃储罐,300L,二楼,142-V101-3,搪玻璃
54,立式储罐,300L,二楼,142-V110,不锈钢
55,卧式储罐,1000L,二楼,142-V302,搪玻璃
56,甲醇储罐,300L,二楼,142-V303,碳钢
57,平底储罐,1000L,二楼,142-V304,碳钢
58,液碱储罐,500L,二楼,142-V306,碳钢
,立式刮刀下卸料离,,,,
59,,L(P)GZ1600,二楼,142-X101,衬塑
,心机,,,,
60,搪玻璃反应罐,KR500,三楼,142-R104-2,搪玻璃
61,搪玻璃反应罐,KR500,三楼,142-R104-3,搪玻璃
62,搪玻璃反应罐,KR500,三楼,142-R105-2,搪玻璃
63,搪玻璃反应罐,KR500,三楼,142-R105-3,搪玻璃
64,泄爆储罐,1000L,楼顶,142-V311,碳钢
,,14号楼三车间（,双溴回收）,,
104,,,,浙江泰鸽安全科,技有限公司
