,序名,设备名称,规格型号,安装位置,设备编号,备注
,124,玻璃钢冷却塔,BL(Ⅱ)J-300,G10冷冻房,08-T101,玻璃钢
,125,玻璃钢冷却塔,C2000S(Ⅱ)-300,G10冷冻房,08-T102,玻璃钢
,126,玻璃钢冷却塔,FBL(Ⅱ)D-300,G10冷冻房,08-T105,玻璃钢
,127,玻璃钢冷却塔,BLⅡJ-100,G10冷冻房,08-T106,玻璃钢
,128,树脂柱,DN1600*1200,18号楼,T0101,SS304
,129,树脂柱,DN1600*1200,18号楼,T0102,SS304
,130,,BHF-241B,,,
,,防静电风机,Ⅱ,18号楼,181-COO1,玻璃钢
,,,Exd BT4 Gb,,,
,131,冷凝液罐,V=0.8m³,18号楼,181-V002,S30408
,132,废水罐,V=0.8m³,18号楼,181-V003,S30408
,133,分层罐,V=1.0m³,18号楼,181-V004,S30408
,134,凝液泵,JIHW25-20-125，,18号楼,181-P1001,组件
,,,"Q=1m³/h,H=20m",,,
,135,废水泵,JIHW25-20-125，,18号楼,181-P1002,组件
,,,"Q=1m³/h,H=20m",,,
,136,降温水泵,JIHW40-25-160，,18号楼,181-P1003,组件
,,,"Q=6m³/h,H=25m",,,
,137,反应釜,2000L,19号楼,08-V103,搪玻璃
,138,卧式储罐,20000L,19号楼,08-V201,不锈钢
,139,方槽,20m³,19号楼,08-V202-1,混凝土
,140,卧式储罐,16m³,19号楼,08-V202-2,搪玻璃
,141,方箱,,19号楼,08-V203,不锈钢
,142,立式储罐,8000L,19号楼,08-V204,不锈钢
,143,立式储罐,300L,19号楼,08-V205,不锈钢
,144,塑料方箱,,19号楼,08-V206,
,,微机控制经济器螺,Ⅲ,,,
,145,,W-JYCLGF240,19号楼,08-X202,
,,杆式盐水机组,,,,
,146,螺杆式冷水机组,KCHUW-23200S,19号楼,08-X301,
,147,袋式过滤器,单袋 2#袋,19号楼,08-X401,不锈钢
,148,鼓风机,HA66,G02楼油炉房,05-C101,组合件
,149,有机热载体锅炉 Y,Y（Q）W-2000Y（Q）,G02楼油炉房,05-F101,组合件
,150,烟囱,/,G02楼油炉房,05-S101,碳钢
,151,膨胀槽,2000L,G02楼油炉房,05-V101,不锈钢
,152,油封储罐,500L,G02楼油炉房,05-V102,Q235-B
,153,储油槽,3000L,G02楼油炉房,05-V103,碳钢
,154,接受罐,300L,G02楼油炉房,05-V104,碳钢
,155,空气预热器,KYQ-70,G02楼油炉房,05-X101,碳钢
1,.8.3,特种设备,,,,
,本,项目涉及到的特种,设备主要有压力容,器、压力管道、,叉车、电梯等，,包括其安
全,附件,：安全阀、压力表,等。特种设备具体,情况见下表，相,关安全附件通过,现场检查
浙,江泰鸽,安全科技有限公司,编制,,,109
