序,,,,,,,外部,下次外部
号,设备名称,使用证编号,使用部门,内部编号,材质,规格型号,检验日期,检验日期
,搪玻璃开式反应罐（铁,,,,搪玻璃（铁,,,
161,,容17浙J16021(21),12号楼三车间水解二楼,R402-6,,3000L,2021/4/10,2024/4/9
,坯）,,,,坯）,,,
,搪玻璃开式反应罐（铁,,,,搪玻璃（铁,,,
162,,容 浙,号楼三车间水解二楼,,,,,
,,17 J16020(21),12,R402-7,,3000L,2021/4/10,2024/4/9
,坯）,,,,坯）,,,
163,碳钢反应釜,容17浙J11766(18),12号楼三车间水解二楼,R402-8,碳钢,3000L,2021/3/3,2024/3/25
164,搪玻璃反应釜,容17浙J12025(18),12号楼三车间精制二楼,R404,搪玻璃,3000L,2021/4/27,2024/6/18
165,卧式储罐,容17浙J15023(20),14号楼三车间双溴一楼,V003,搪玻璃,16m3,2022/12/20,2026/8/24
166,卧式储罐,容17浙J15024(20),14号楼三车间双溴一楼,V004,搪玻璃,16m3,2022/12/10,2026/8/24
167,搪玻璃反应釜,容17浙J15026(20),14号楼三车间双溴二楼,R101-1,搪玻璃,2000L,2023/8/7,2026/9/3
168,搪玻璃反应釜,容17浙J15028(20),14号楼三车间双溴二楼,R101-2,搪玻璃,2000L,2023/8/7,2026/9/3
169,搪玻璃反应釜,容17浙J15029(20),14号楼三车间双溴二楼,R101-3,搪玻璃,2000L,2023/8/7,2026/9/3
170,搪玻璃反应釜,容15浙J13580(19),14号楼三车间双溴二楼,R103,搪玻璃,5000L,2022/7/23,2025/8/28
171,搪玻璃反应釜,容17浙J15030(20),14号楼三车间双溴二楼,R203,搪玻璃,2000L,2023/8/7,2026/9/3
172,反应罐罐身,容17浙J21022(22),14号楼三车间双溴二楼,142-R301,搪玻璃,K2000,2022/9/13,2025/9/12
173,不锈钢蒸馏塔釜,容17浙J12704(19),14号楼三车间双溴一楼,T301,不锈钢,5000L,2021/9/13,2024/9/11
174,300L空气储罐,容17浙J15473(21),14号楼三车间双溴一楼,V002,不锈钢,300L,2023/10/9,2026/11/10
175,300L气体储罐,容17浙J21198(22),14号楼三车间双溴一楼,142-V012,不锈钢,300L,2022/8/12,2025/8/11
176,300L氮气储罐,容17浙J12702(19),7号楼五车间苯扎贝特一楼,V317-2,碳钢,300L,2021/7/16,2024/8/19
177,气水分离器,容17浙J13152(19),7号楼B1西段,073-V108,不锈钢,0.05m3,2022/5/20,2025/6/12
178,搪玻璃反应釜,容17浙J13874(20),8号楼五车间酰化二楼,R103,搪玻璃,1000L,2023/11/27,2025/11/6
179,搪玻璃反应釜,容17浙J12343(19),8号楼五车间酰化三楼,R102,搪玻璃,500L,2022/10/20,2025/10/19
180,搪玻璃开式反应罐,容15浙J23280(22),8号楼五车间酰化二楼,081-R701,搪玻璃,2000L,2022/1/21,2025/1/21
181,搪玻璃开式反应罐,容15浙J23479(22),8号楼五车间酰化二楼,081-R702,搪玻璃,2000L,2022/1/3,2025/1/2
182,搪玻璃反应釜,容17浙J13875(20),8号楼五车间酰化二楼,081-R201,搪玻璃,1000L,2021/3/3,2024/3/5
183,氮气储罐,容17浙J20470(22),7号楼五车间B1西段,073-V003,不锈钢,300L,2021/8/10,2024/8/9
