序号,储存介质,数,量 最大,储量（t,）,规格,材质,,备注
4,盐酸储罐,1,,42,,Φ2800×7400，50m3,钢衬四氟,,戊类
5,盐酸备用罐,1,,—,,Φ2800×7400，50m3,聚丙烯,,戊类
6,硫酸储罐（闲置）,1,,—,,Φ2800×6400，40m3,碳钢,,戊类
7,柴油储罐,1,,11,,Φ2000×4400，15m3,碳钢,,丙类
,乙酸乙酯混合液,,,,,,,,
,,,,,,3,,,
8,,1,,38,,Φ2800×7400，50m,碳钢,,甲类
,储罐,,,,,,,,
9,工业甲醇罐,1,,34,,Φ2800×7400，50m3,碳钢,,甲类
10,丙酮储罐,1,,34,,Φ2800×7400，50m3,碳钢,,甲类
11,乙酸乙酯储罐,1,,38,,Φ2800×7400，50m3,碳钢,,甲类
12,三氯甲烷储罐,1,,64,,Φ2800×7400，50m3,碳钢,,甲类
13,甲苯储罐,1,,37,,Φ2800×7400，50m3,碳钢,,甲类
14,回收乙醇罐,1,,34,,Φ2800×7400，50m3,碳钢,,甲类
15,制氢甲醇罐,1,,34,,Φ2800×7400，50m3,碳钢,,甲类
16,加氢乙醇罐,1,,34,,Φ2800×7400，50m3,碳钢,,甲类
17,甲苯储罐,1,,26,,Φ2400×7400，35m3,碳钢,,甲类
18,无水乙醇罐,1,,24,,Φ2400×7400，35m3,碳钢,,甲类
19,螺旋板式换热器,1,,/,,6m2,,,
20,箱式真空机组,1,,/,,JW-RPP-65-280,,,RPP
21,氮气储罐,1,,/,,300L,,,不锈钢
22,氮气储罐,1,,/,,2000L,,,碳钢
23,旋风分离器,1,,/,,,,,
24,防爆除湿机,1,,/,,WSDH-8150FB,,,
.9.1.,2 甲类仓库物料储,存,情况,,,,,,
企,业甲类仓库原有建,筑,面积 383,m2，目,前,其西侧、南侧部分库,房按设,计要,求已
，故,使用面积约 175.9,m2,，共设六,个防火,分,区，由西向东依次储,存硼氢,化钾,（甲
，易,制爆）、四氢呋喃和,氯,苯（易燃,液体,）、,雷尼镍（甲3项）、,锌粉（易,制,爆）、
酸钠,（氧化剂）、危险,废,物。甲类,仓库依,照,浙江华亿工程设计股,份公司的,要,求设
相应,的防水、防流散、,排,风、报警,监测、,消,防应急设施等安全措,施。易,制爆,品仓
GA1,511等规范的要求,设,置了安防,系统。,,,,,
,,表,1.9-3 甲,类仓库,使,用情况一览表,,,
序,,,最大储量,,,,,,
,储存介质,,,,防,火分区面积 总,面积,,备注
号,,,（t）,,,,,,
1,硼氢化钾,,5,,甲4,项，39.8m3,,易,制爆
,四氢呋喃,,6,,,,,,
2,,,,,甲1,项，38.4m3 175,.9m3,易,燃液体
,氯苯,,3,,,,,,
3,雷尼镍,,2,,甲3,项，19.2m3,,,
