制，,生产过程,的,管控可由中央控,制室的操作人员通过远传操控的,DCS 控,制系统
，车,间现场主,要,配备必要的巡检,和投料人员，车间同时在场人员,数量控制在,9人
。,,,,,,
,,,表1.11-3,各车间岗位定员情况一览表,,
序,,,,,,
,生产,车,间,工序 每班定员 班制,长白班,总人数
号,,,,,,
1,,1,0-甲氧基,水解 3 3,0,9
2,10号楼,,亚氨芪,精制 2 3,0,6
3,,,IDB,精制 3 3,0,9
4,,,,缩合 4 3,2,14
,9号楼,,格列粗品,,,
5,,,回,收亚油 0 0,1,1
6,,,,亚油 3 3,0,9
,,,格列粗品,,,
7,8号楼,,,杂环 4 3,0,12
8,,,苯扎贝特,酰化 1 3,0,3
9,,,IDB,精制 4 3,1,13
10,7号楼,,苯扎贝特,缩合 2 3,0,6
11,,,普瑞巴林,合成 1 3,0,3
12,,,,浓缩 3 3,0,9
,6号楼,,IDB,,,
13,,,,环合 4 3,0,12
14,3号楼,,IDB 制氢,、加氢 3 3,0,9
15,13号楼,,废水预处理车,间 2 3,2,8
,,1,0-甲氧基,,,
,号楼,,,溴化,,
16,14,,,6 3,0,18
,,,亚氨芪,,,
17,,,投料巡检人员,4 3,0,12
18,,,总控室人员,4 3,2,14
19,,,管理人员,2 3,23,29
,,,,合计,,200
