序,,,,,
,名称,文件编,码,执行日期,编订部门
号,,,,,
70,风险研判管理制度,YSE-SOP,177,2021/12/15,安环部
71,EHS变更控制,YSE-SOP,178,2021/02/15,安环部
72,仪表自动化控制系统安全管理制度,YMC-SOP,108,2023/09/10,工程部
73,自动化系统控制室管理规程,YMC-SOP,109,2022/12/15,工程部
74,自动化控制系统安全联锁保护管理规程,YMC-SOP,110,2023/12/15,工程部
75,自动化控制系统巡查管理规程,YMC-SOP,111,2023/09/10,工程部
76,自动化控制系统维护保养规程,YMC-SOP,112,2022/12/05,工程部
77,设备安全与事故管理制度,YED-SOP,1007,2023/01/10,工程部
78,设备检修管理制度,YED-SOP,1013,2023/10/07,工程部
79,高压配电室管理规定,YED-SOP,1029,2023/07/03,工程部
80,低压配电室管理规定,YED-SOP,1030,2023/07/03,工程部
81,供应商管理,YWH-SO,P 09,2023/07/25,仓储部
82,领导干部带班与值班制度,YPD-SOP,111,2023/07/15,生产部
83,培训管理制度,YPA-SOP,101,2023/05/25,人事行政部
,安全操作,规程,,,
1,化验员安全操作规程,YSE-SOP,17,2021/09/18,安环部
2,热水罐使用和维护规程,YED-SOP,03,2023/04/07,工程部
3,离心机使用维护规程,YED-SOP,05,2021/10/15,工程部
4,摇摆式颗粒机使用维护规程,YED-SOP,06,2023/01/10,工程部
5,齿轮泵使用维护规程,YED-SOP,07,2023/01/10,工程部
6,蒸馏塔使用维护规程,YED-SOP,08,2022/05/13,工程部
7,升降机使用维护规程,YED-SOP,10,2023/06/15,工程部
8,轴流通风机使用维护规程,YED-SOP,11,2023/01/10,工程部
9,行星摆线针轮减速机检修规程,YED-SOP,12,2023/04/07,工程部
10,单级离心泵使用维护规程,YED-SOP,13,2023/01/10,工程部
11,换热器使用维护规程,YED-SOP,14,2023/09/06,工程部
12,反应釜使用维护规程,YED-SOP,15,2023/03/25,工程部
13,自吸泵使用维护规程,YED-SOP,16,2023/01/10,工程部
14,管道离心泵使用维护规程,YED-SOP,17,2023/01/10,工程部
15,屏蔽电泵使用维护规程,YED-SOP,18,2023/01/10,工程部
16,螺杆泵使用维护规程,YED-SOP,19,2023/01/10,工程部
,空气悬浮高速离心式鼓风机使用和维护,,,,
17,规程,YED-SOP,20,2022/03/15,工程部
18,蓄热式废气焚烧炉使用和维护规程,YED-SOP,21,2021/10/15,工程部
19,设备管道带压堵漏操作方法,YED-SOP,22,2022/09/10,工程部
20,管道过滤器使用维护规程,YED-SOP,23,2023/01/10,工程部
21,真空上料机使用维护规程,YED-SOP,26,2021/11/01,工程部
22,水环泵使用维护规程,YED-SOP,27,2023/01/10,工程部
