GB 190-2009,《危险货物包装标志》
GB 2893-2013,《图形符号 安全色和安全标志》
GB 2894-2008,《安全标志及其使用导则》
GB 4053.1-2009,《固定式钢梯及平台安全要求 第1部分：钢直梯》
GB 4053.2-2009,《固定式钢梯及平台安全要求 第2部分：钢斜梯》
GB 4053.3-2009,《固定式钢梯及平台安全要求 第3部分：防护栏杆
GB 4387-2008,《工业企业厂内铁路、道路运输安全规程》
GB 4962-2008,《氢气使用安全技术规程》
GB 5083-1999,《生产设备安全卫生设计总则》
GB 6944-2012,《危险货物分类和品名编号》
GB 7231-2003,《工业管道的基本识别色、识别符号和安全标识》
GB 12158-2006,《防止静电事故通用导则》
GB 12268-2012,《危险货物品名表》
GB 12463-2009,《危险货物运输包装通用技术条件》
GB/T 12801-2008,《生产过程安全卫生要求总则》
GB 13495.1-2015,《消防安全标志 第1部分：标志》
GB 13690-2009,《化学品分类和危险性公示 通则》
GB/T 13861-2022,《生产过程危险和有害因素分类与代码》
GB/T 13869-2017,《用电安全导则》
GB 15258-2009,《化学品安全标签编写规定》
GB 15603-2022,《危险化学品仓库储存通则》
GB/T 16483-2008,《化学品安全技术说明书 内容和项目顺序》
GB 16912-2008,《深度冷冻法生产氧气及相关气体安全技术规程》
GB 17914-2013,《易燃易爆性商品储存养护技术条件》
GB 17915-2013,《腐蚀性商品储存养护技术条件》
GB 17916-2013,《毒害性商品储存养护技术条件》
GB 18218-2018,《危险化学品重大危险源辨识》
GB/T 29639-2020,《生产经营单位生产安全事故应急预案编制导则》
GB/T 29729-2022,《氢系统安全的基本要求》
GB 30077-2013,《危险化学品单位应急救援物资配备要求》
