GB 30871-2022,《危险化学品企业特殊作业安全规范》
GB 36894-2018,《危险化学品生产装置和储存设施风险基准》
GB/T 37243-2019,《危险化学品生产装置和储存设施外部安全防
GB 39800.1-2020,《个体防护装备配备规范 第1部分：总则》
GB 39800.2-2020,《个体防护装备配备规范 第2部分：石油、化
GB 50011-2010,《建筑抗震设计规范》（2016年版）
GB 50016-2014,《建筑设计防火规范》（2018年版）
GB 50034-2013,《建筑照明设计规范》
GB 50041-2020,《锅炉房设计标准》
GB 50052-2009,《供配电系统设计规范》
GB 50054-2011,《低压配电设计规范》
GB 50057-2010,《建筑物防雷设计规范》
GB 50058-2014,《爆炸危险环境电力装置设计规范》
GB/T 50087-2013,《工业企业噪声控制设计规范》
GB 50140-2005,《建筑灭火器配置设计规范》
GB 50160-2008,《石油化工企业设计防火标准》（2018年版）
GB 50177-2005,《氢气站设计规范》
GB 50187-2012,《工业企业总平面设计规范》
GB 50251-2015,《输气管道工程设计规范》
GB 50316-2000,《工业金属管道设计规范》（2008年版）
GB 50351-2014,《储罐区防火堤设计规范》
GB 50489-2009,《化工企业总图运输设计规范》
GB/T 50493-2019,《石油化工可燃气体和有毒气体检测报警设计
GB 50974-2014,《消防给水及消火栓系统技术规范》
GB 51047-2014,《医药工业总图运输设计规范》
GB 51283-2020,《精细化工企业工程设计防火标准》
GB 55036-2022,《消防设施通用规范》
GB 55037-2022,《建筑防火通用规范》
GBZ 1-2010,《工业企业设计卫生标准》
GBZ 2.1-2019,《工作场所有害因素职业接触限值 第1部分：
