序,,危化品,,,
,物质名称,,CAS,危险性类别,备注
号,,序号,,,
,,,,易燃液体，类别2,
,,,,严重眼损伤/眼刺激，类别2,
8,四氢呋喃,2071,109-99-9,致癌性，类别2,
,,,,特异性靶器官毒性-一次接触，类别3（呼,
,,,,吸道刺激）,
,,,,易燃液体，类别3,
9,氯苯,1414,108-90-7,危害水生环境-急性危害，类别2,重点监管
,,,,危害水生环境-长期危害，类别2,
,,,,遇水放出易燃气体的物质和混合物，类,
,,,,别1,
,硼氢化钾,,,,易制爆
10,,1605,13762-51-1,,
,,,,急性毒性-经口，类别3,
,,,,急性毒性-经皮，类别3,
,,,,自热物质和混合物，类别1,
,,,,遇水放出易燃气体的物质和混合物，类,
11,锌粉,2358,7740-66-6,别1,易制爆
,,,,危害水生环境-急性危害，类别1,
,,,,危害水生环境-长期危害，类别1,
,,,,氧化性固体，类别3,重点监
12,亚硝酸钠,2492,7632-00-0,急性毒性-经口，类别3*,管、第二
,,,,危害水生环境-急性危害，类别1,类易制毒
,,,,急性毒性-吸入，类别3,
,,,,皮肤腐蚀/刺激，类别2,
,三氯甲烷,,,严重眼损伤/眼刺激，类别2,
13,,1852,67-66-3,,
,（氯仿）,,,致癌性，类别2,
,,,,生殖毒性，类别2,
,,,,特异性靶器官毒性-反复接触，类别1,
,,,,皮肤腐蚀/刺激，类别1B,
,,,,严重眼损伤/眼刺激，类别1,
,,,,,第三类易
,盐酸,,,特异性靶器官毒性 一次接触，类别 （呼,
14,,2507,7647-01-0,- 3,制毒
,,,,吸道刺激）,
,,,,危害水生环境-急性危害，类别2,
,,,,急性毒性-吸入，类别2*,
,,,,皮肤腐蚀/刺激，类别1A,第二类易
,溴,,,,
15,,2361,7726-95-6,,
,,,,严重眼损伤/眼刺激，类别1,制毒
,,,,危害水生环境-急性危害，类别1,
,,,,皮肤腐蚀/刺激，类别1B,
,正磷酸,,,,
16,,2790,7664-38-2,,
,,,,严重眼损伤/眼刺激，类别1,
,4-氯苯甲酰氯,,,,
,,,,皮肤腐蚀刺激，类别,
,（对氯苯甲酰,,,/ 1,
17,,1426,122-01-0,严重眼损伤眼刺激，类别,
,,,,/ 1,
,氯）,,,,
,,,,"皮肤腐蚀/刺激,类别1A",
,氢氧化钾,,,,
18,,1667,1310-58-3,,
,,,,"严重眼损伤/眼刺激,类别1",
,氢氧化钠及其,,,"皮肤腐蚀/刺激,类别1A",
19,,1669,1310-73-2,,
,溶液,,,"严重眼损伤/眼刺激,类别1",
,,,,皮肤腐蚀/刺激，类别1B,
,,,,严重眼损伤/眼刺激，类别1,
,氯化锌,,,,
20,,1480,7646-85-7,,
,,,,特异性靶器官毒性-一次接触，类别3（呼,
,,,,吸道刺激）,
