序,,,燃烧,火险,,自燃,温,爆炸极限
,物料名称,外观,,,闪点℃,,,
号,,,性,类别,,度℃,,（V％）
5,乙醇,无色液体，有酒香,易燃,甲,12,363,,3.3～19.0
,,无色澄清液体，有芳香气,,,-4闭杯；,,,
,乙酸乙酯,,易燃,甲,,,,～
6,,,,,,426,,2.0 11.5
,,味，易挥发,,,13开杯,,,
,,无色透明易流动液体，有,,,,,,
7,丙酮,芳香气味，极易挥发。有,易燃,甲,-20,465,,2.5～13.0
,,指甲油去除剂的甜味,,,,,,
,,无色易挥发液体，有类似,,,,,,
,四氢呋喃,,易燃,甲,,,,～
8,,,,,-20,230,,1.5 12.4
,,乙醚的气味,,,,,,
,,无色透明液体，具有不愉,,,,,,
,氯苯,,易燃,乙,,,,～
9,,,,,28,590,,1.3 9.6
,,快的苦杏仁味,,,,,,
10,硼氢化钾,白色结晶性粉末,易燃,甲,—,—,,—
11,锌粉,浅灰色的细小粉末,可燃,乙,—,500,,—
,,白色或淡黄色细结晶，无,,,,,,
12,亚硝酸钠,,助燃,乙,无意义,无意,义,无意义
,,臭，略有咸味，易潮解,,,,,,
,,无色透明重质液体，极易,,,,,,
,三氯甲烷,,不燃,戊,无意义,无意,义,无意义
13,,,,,,,,
,,挥发，有特殊气味,,,,,,
,,无色或微黄色发烟液体，,,,,,,
,盐酸,,不燃,戊,无意义,无意,义,无意义
14,,,,,,,,
,,有刺鼻的酸味,,,,,,
,,暗红褐色发烟液体，有刺,,,,,,
15,溴,,助燃,乙,无意义,无意,义,无意义
,,鼻气味,,,,,,
,,纯磷酸为无色结晶，无臭，,,,,,,
16,正磷酸,,助燃,戊,无意义,无意,义,无意义
,,具有酸味,,,,,,
,4-氯苯甲酰,无色或微黄色透明液体或,,,,,,
,,,可燃,丙,,—,,—
17,,,,,105,,,
,氯,结晶,,,,,,
18,氢氧化钾,白色晶体，易潮解，无臭,不燃,丁,无意义,无意,义,无意义
,,白色不透明固体，易潮解；,,,,,,
19,氢氧化钠,,不燃,丁,无意义,无意,义,无意义
,,液碱为无色透明液体,,,,,,
20,氯化锌,白色粉末，无臭，易潮解,不燃,戊,无意义,无意,义,无意义
,,,,乙（活化,,,,
21,雷尼镍,细小的灰色粉末,可燃,,—,—,,—
,,,,后甲类）,,,,
,,,,,,,～,
22,天然气,无色、无臭、无味气体,易燃,甲,-190,482,,5～14
,,,,,,632,,
,,无色气体，有轻微的发甜,,,,,,
23,氟利昂R22,,不燃,戊,无意义,无意,义,无意义
,,气味,,,,,,
,,,,,,257（,引,
,柴油,稍有粘性的棕色液体,可燃,丙,＞,,,—
24,,,,,60,,,
,,,,,,燃）,,
,,表 4.1-3 危险化学品,主要有,害特性数,据表,,,
,,,,,,3,,
序,,毒性,有毒,物质容许浓,度(mg/m,),危害,
,物料名称,"LD
50 侵入途径",,,,,,备注
号,,(mg/kg),MA,C PC-TW,A PC-ST,EL,程度,
1,氢,— 吸入,—,—,—,,—,
