序,,毒性,,有毒物,质容许浓度,(mg/m ),危害
,物料名称,"LD
50",侵入途径,,,,
号,,(mg/kg),,MAC,PC-TWA,PC-STEL,程度
2,氮,—,吸入,—,—,—,—
,,1000mg/kg(大鼠,吸入、食入、,,,,中度
,甲苯,,,—,,,
3,,,,,50,100,
,,经口),经皮吸收,,,,危害
,,5628mg/kg(大鼠,吸入、食入、,,,,中度
,甲醇,,,—,,,
4,,,,,25,50,
,,经口),经皮吸收,,,,危害
,,7060mg/kg(兔经,吸入、食入、,,,,轻微
,乙醇,,,—,—,—,
5,,,,,,,
,,口),经皮吸收,,,,危害
,,5620mg/kg(大鼠,吸入、食入、,,,,轻微
,乙酸乙酯,,,—,,,
6,,,,,200,300,
,,经口),经皮吸收,,,,危害
,,5800mg/kg(大鼠,吸入、食入、,,,,轻微
,丙酮,,,—,,,
7,,,,,300,450,
,,经口),经皮吸收,,,,危害
,,2816mg/kg(大鼠,吸入、食入、,,,,轻微
,四氢呋喃,,,—,,—,
8,,,,,300,,
,,经口),经皮吸收,,,,危害
,,2290mg/kg(大鼠,吸入、食入、,,,,中度
,氯苯,,,—,,—,
9,,,,,50,,
,,经口),经皮吸收,,,,危害
,,,吸入、食入、,,,,
10,硼氢化钾,—,,—,—,—,—
,,,经皮吸收,,,,
11,锌粉,—,吸入、食入,—,—,—,—
,,85mg/kg(大鼠经,吸入、食入、,,,,中度
,亚硝酸钠,,,—,—,—,
12,,,,,,,
,,口),经皮吸收,,,,危害
,,908mg/kg(大鼠经,吸入、食入、,,,,轻度
,三氯甲烷,,,—,,—,
13,,,,,20,,
,,口),经皮吸收,,,,危害
,,900mg/kg(兔经,,,,,高度
,盐酸,,吸入、食入,,—,—,
14,,,,7.5,,,
,,口),,,,,危害
,,：,吸入、食入、,,,,中度
,溴,"LC 750ppm
50",,—,,,
15,,,,,0.6,2,
,,9min(小鼠吸入),经皮吸收,,,,危害
,,1530mg/kg(大鼠,吸入、食入、,,,,轻度
,正磷酸,,,—,,,
16,,,,,1,3,
,,经口),经皮吸收,,,,危害
,4-氯苯甲,,吸入、食入、,,,,
,,—,,—,—,—,—
17,,,,,,,
,酰氯,,经皮吸收,,,,
,,273mg/kg(大鼠经,,,,,中度
,氢氧化钾,,吸入、食入,—,—,—,
18,,,,,,,
,,口),,,,,危害
,,,,,,,轻度
19,氢氧化钠,—,吸入、食入,2,—,—,
,,,,,,,危害
,,350mg/kg(大鼠经,吸入、食入、,,,,轻度
,氯化锌,,,—,,,
20,,,,,1,2,
,,口),经皮吸收,,,,危害
,,,,,,,中度
,雷尼镍,—,吸入、食入,—,—,—,
21,,,,,,,
,,,,,,,危害
,,,,,,,轻度
22,天然气,—,吸入,—,—,—,
,,,,,,,危害
,氟利昂,：,,,,,轻微
,,"LC 1000000mg
50",吸入,—,,—,
23,,3,,,2,,
,R22,/m 2h(大鼠吸入),,,,,危害
,,,吸入、食入、,,,,轻度
24,柴油,—,,—,—,—,
,,,经皮吸收,,,,危害
