序,,,,,最大存在,临界量Q,,
,场所,,,危险物质,,,,小计
,,,,,,,q/Q,
号,,,,,量q（t）,（t）,,
,,,,甲醇,5,500,0.01,
,,,,甲醇,9,500,0.018,
7,12号楼,,,,,,,0.038
,,,,甲苯,10,500,0.02,
,,,,溴素,40,20,2,
,,,,,,,,2.01154
8,14号楼,,,氯苯,7.7,5000,0.00154,（构成）
,,,,甲醇,5,500,0.01,
,,,,硼氢化钾,5,200,0.025,
,,,,四氢呋喃,6,1000,0.006,
9,甲类仓库,,,氯苯,3,5000,0.0006,0.1216
,,,,锌粉,10,200,0.05,
,,,,亚硝酸钠,8,200,0.04,
,,,,丙酮,34,500,0.068,
,,,,乙酸乙酯,38,500,0.076,
,,,,乙酸乙酯混合液,,,,
,,,,,38,500,0.076,
,,,(,按乙酸乙酯计),,,,
10,罐区,,,甲苯,63,500,0.126,0.6682
,,,,乙醇,92,500,0.184,
,,,,甲醇,68,500,0.136,
,,,,柴油,11,5000,0.0022,
：甲醇,参与裂解制氢,反应,,、乙醇参与加氢反应,，属于重点监,管的危险化工,工艺。,
由上,表可知，企,业,厂,区内已构成1个危,险化学品重,大危险源：,14号楼（,10-甲氧
氨芪溴,化车间）生,产,单,元。,,,,
.3.3 重,大危险源,分,,级,,,,
根据,GB18218-20,18,,《危险化学品重大,危险源辨识,》的规定，重,大危险源,分级采
元内各,种危险化学,品,实,际存在（在线）量,与其在GB,18218中规定,的临界量,比值，
正系数,校正后的比,值,之,和R作为分级指标,。,,,
,,,, q,q,q ,,
,,R,, 1 ,2 , n ,,
,,,, 1 2,,n ,,
,,,,"Q

1","Q
2","Q

n",,
式中,：,,,,,,,
,R,—,,重大危险源分级指,标；,,,
,"q ,q ,…,q
1 2 n",—,,每种危险化学品实,际存在（在,线）量（单,位：t）；,
,"Q ,Q ,…,Q
1 2 n",—,,与各危险化学品相,对应的临界,量（单位：,t）；,
