液体,密度（Kg/m³）,900
燃料,燃烧热（Kj/Kg）,23518.729
液体,定压比热（Kj/(Kg.K)）,1.92
液体,蒸发潜热（Kj/Kg）,4158.91
液体,常压沸点（K）,350.2
人员,暴露时间（s）,60
液池,半径(m),13.43
,参数表11：,
装置,名称,8车间-甲苯
物料,名称,甲苯
装置,类型,固定的带压容器和储罐
泄漏,模式,"泄漏到大气中-中孔泄漏,泄漏到大气中-小孔泄漏"
泄漏,源强,10kg/s<=连续泄漏源强<=100kg/s
事故,类型：池火灾（POOL FIRE）,
危险,单元类型,无防火堤
地面,性质,混泥土地面
燃料,泄漏量（Kg）,1500
修正,后的燃料泄漏量（Kg）,1275
液体,密度（Kg/m³）,870
燃料,燃烧热（Kj/Kg）,42438.68
液体,定压比热（Kj/(Kg.K)）,1.1266
液体,蒸发潜热（Kj/Kg）,412.52
液体,常压沸点（K）,383.6
人员,暴露时间（s）,60
液池,半径(m),9.66
,2）区域总体个人风险模拟结果,
,个人风险计算采用南京安元的 CASST,-QRA 定量风险评价软件进行。将计算所需
数据,输入定量风险评价软件，即可自动完,成个人风险的计算、等值线的追踪和绘制
,通过模拟计算，企业生产、储存装置,总体个人风险等值线如下图所示。
