序,,,,,,符合
,,场所,标准依据,标准规定,实际情况,
号,,,,,,性
,,居民区、商业中心、公园,GB50016-2014,,,
,,,,,＞,符合
1,,等人口密集区域,《建筑设计防火,,500m,
,,学校、医院、影剧院、体,规范》（2018年,50m,,
2,,,,,附近无,符合
,,育场（馆）等公共设施,版）,,,
,,,《饮用水水源保,不得设置在一,附近无饮用水,
,,供水水源、水厂及水源保,,,,
3,,,护区污染防治管,级、二级水源保,源、水厂以及水,符合
,,护区,,,,
,,,理规定》,护区内,源保护区。,
,,车站、码头（按照国家规,GB50016-2014,车站、码头50m,,
,,定，经批准，专门从事危,《建筑设计防火,公路（国道、高,,
,,险化学品装卸作业的除,规范》（2018年,速）100m,与上述设施距离,
,,,,,,符合
4,,,版）、《公路保,,,
,,外）、机场以及公路、铁,,铁路：,符合规范要求。,
,,,,25m,,
,,路、水路交通干线、地铁,护条例》、《铁,,,
,,风亭及出入口,路保护条例》,厂外园区道路,,
,,,,15m,,
,,基本农田保护区、畜牧,,,,
,,,《基本农田保护,,附近无基本农田,
5,,区、渔业水域和种子、种,,不得违反占用,,符合
,,,条例》,,保护区等。,
,,畜、水产苗种生产基地,,,,
,,,,,附近无湖泊、风,
,,,GB50160-2008,,,
,,河流、湖泊、风景名胜区,,通航江、河、海,景名胜区、自然,
6,,,《石油化工企业,,,符合
,,和自然保护区,设计防火标准》,岸边20m,保护区，距离河,
,,,,,道岸边＞20m。,
,,,《中华人民共和,与县级以上政府,附近无军事禁,
7,,军事禁区、军事管理区,国军事设施保护,部门共同划定安,区、军事管理,符合
,,,法》,全控制范围,区。,
,,法律、行政法规规定予以,,,附近无此类场,
,,,,,,符合
8,,,-,-,,
,,保护的其他区域,,,所。,
,,小结：结合上述的分析，,企业选址符合规,范要求。,,
.1,.,2 外部环境对企业的,影响,,,
,,从项目地址周边情况来看,，厂址周边 500,m 范围内无居民,区。公司厂址北面,为椒
江江,,堤；东面为四维医药厂区,；南面为内部道,路，次之为四维,医药厂区；西面为,停用
的垃,,圾填埋场（无建筑物），,次之为新农化工,厂区。,,
,,若周边企业发生事故时，,只要双方加强沟,通，应急处理得,当，安全设施正常,运行，
加强,,各自的安全管理，周边企,业对本评价项目,的影响风险在可,以接受的范围。,
.1,.,3 自然条件对项目的,影响,,,
,1,）项目厂房为框架式结,构，按本地区的,地震烈度，抗震设,防烈度为 6 度，,在生
