序,,层,占地面,建筑面,,耐火,火险,
,建构筑物名称,,,,结构,,,备注
,,,2,2,,,,
号,,数,积m,积m,,等级,类别,
,,,,,,,,亚氨基二苄环合、浓
5,6号楼,4,645,2274,框架,二级,甲类,
,,,,,,,,缩工段
,,,,,,,,亚氨基二苄精制回
,,,,,,,,收工段、苯扎贝特缩
6,7号楼,3,625,1875,框架,二级,甲类,
,,,,,,,,合精制工段、普瑞巴
,,,,,,,,林生产车间
,,,,,,,,格列齐特酰亚胺还
,,,,,,,,原、亚油、亚油还原
7,8号楼,3,577,1731,框架,二级,甲类,
,,,,,,,,工段和苯扎贝特酰
,,,,,,,,化工段
,,,,,,,,格列齐特合成、缩
,号楼,,,,框架,二级,甲类,
8,9,3,577,1731,,,,
,,,,,,,,合、废水浓缩工段
,,,,,,,,亚氨基二苄精制、10-
9,10号楼,2,597,2388,框架,二级,甲类,甲氧基亚氨芪水解、
,,,,,,,,精制、回收工序
10,油炉房,1,144,144,框架,二级,丙类,导热油炉供热
11,RTO装置,1,280,280,—,—,—,有机废气处理
,废水处理中心,,,,,,,
12,,2,180,360,框架,二级,丁类,
,及厕所,,,,,,,
,,,,,,,,甲醇、甲苯、乙醇、
,甲类罐区及泵,,,,,,,
13,区,—,960,960,框架,二级,甲类,乙酸乙酯、液碱、盐
,,,,,,,,酸等储存
,固废仓库,,,,,,,
14,,1,237.5,237.5,框架,二级,丙类,固废储存
,（22号楼）,,,,,,,
,,,,,,,,西侧、南侧闲置，北
,,,,,,,,侧分为六个防火分
,,,383,,,,,区，由西向东依次储
,甲类仓库,,（使用,,,,,存硼氢化钾(易制爆，
15,,1,,383,框架,二级,甲类,
,（15号楼）,,面积：,,,,,甲4)、四氢呋喃和氯
,,,175.9）,,,,,苯、雷尼镍(甲3)、
,,,,,,,,锌粉(易制爆)、亚硝
,,,,,,,,酸钠、危险废物
,10-甲氧基亚,,,,,,,
,,,,,,,,甲氧基亚氨芪溴
,氨芪溴化车间,,,,框架,二级,甲类,10-
16,,3,361,1083,,,,化工段
,（14号楼）,,,,,,,
,废水预处理车,,,,,,,
,,,,,框架,二级,甲类,废水预处理工段
17,,3,361,1083,,,,
,间（13号楼）,,,,,,,
,闲置废水预处,,,,,,,
18,理车间,3,425,1225,框架,二级,甲类,暂时闲置
,（12号楼）,,,,,,,
,公用工程车间,,,,,,,
,,,,,,,,发电机房、高压配电
19,二（21、20号,2/1,734,1240,框架,二级,丙类,房、空压、制氮等
,楼）,,,,,,,
,公用工程楼一,,,,,,,氟利昂制冷、变配电
20,,2/1,221,331,框架,二级,丙类,
,（19号楼）,,,,,,,等
