序,,,结,
,检查项目,依据,,现状情况
号,,,果,
,事故状态泄漏有毒、有害、易燃、易爆液体,,,
,,GB50489-2009,符,设置有消防废水收集设
9,工厂的厂址，应远离江、河、湖、海、供水,3.1.11,合,施。
,水源防护区。,,,
,产生环境噪声超过现行国家标准《工业企业,,,
,厂界环境噪声排放标准》GBl2348规定的工,,,企业位于工业园区内，
,,,符,
,,GB50489-2009,,
10,厂，不应在噪声敏感区域内选择厂址；对外,3.1.12,合,且经检测，在规定范围
,部噪声敏感的工厂，应根据其正常生产运行,,,内。
,的要求选择厂址。,,,
,厂址不应选择在下列地段或地区：,,,
,1 地震断层及地震基本烈度高于9 度的地,,,
,震区。,,,
,2 工程地质严重不良地段。,,,
,3 重要矿床分布地段及采矿陷落（错动）区。,,,
,4 国家或地方规定的风景区、自然保护区及,,,
,历史文物古迹保护区。,,,
,5 对飞机起降、电台通信、电视传播、雷达,,,
,导航和天文、气象、地震观测以及军事设施,GB50489-2009,符,企业场地无该类地段或
11,,,,
,等有影响的地区。,3.1.13,合,地区。
,6 供水水源卫生保护区。,,,
,7 易受洪水危害或防洪工程量很大的地区。,,,
,8 不能确保安全的水库，在库坝决溃后可能,,,
,淹没的地区。,,,
,9 在爆破危险区范围内。,,,
,10 大型尾矿库及废料场（库）的坝下方。,,,
,11 有严重放射性物质污染影响区。,,,
,12 全年静风频率超过60％的地区。,,,
,厂址应具有满足建设工程需要的工程地质,,,
,,GB50489-2009,符,厂址工程地质及水文地
12,及水文地质条件，在地质灾害易发区应进行,3.2.3,合,质条件适宜建厂。
,地质灾害危险性评估。,,,
,新建危险化学品生产、储存项目应当在依法,,,
,规划的专门用于危险化学品生产、储存场所,指导意见,符,所在工业园区为专门用
13,,,,于生产、使用危险化学
,的集聚区或园区内进行建设。园区和集聚区,第四条,合,
,,,,品企业的集聚区。
,外的企业要逐步向园区和集聚区搬迁集聚。,,,
,园区内的化工企业布点应充分考虑周边居,,,
,住区等敏感点及相邻周边企业所使用物料,,,
,,,,厂区周边为化工企业、
,的特性、生产工艺特点和风向频率等因素，,指导意见,符,
14,企业与敏感点之间应设置必要的缓冲带，性,第五条,合,热电厂，保持有安全距
,,,,离。
,质相同或相近、或产品与设施有协作关系的,,,
,企业宜相邻建设。,,,
,化工企业内的设施、设备布置应按照生产流,,,
,,,,生产设施、设备布置按
,程顺序，同类设备适当集中；产生腐蚀性、,,,照生产流程顺序，同类
,粉尘、尾气、有毒和易凝介质的设备应按流,,,
,程顺序紧凑布置，并采取相应的防范措施；,指导意见,符,设备集中；产生有毒的
15,,第七条,合,设备按流程顺序紧凑布
,对易结焦、堵塞，因温降、压降等因素可引,,,
,发副反应的相关设备，应靠近布置；对有高,,,置，并采取相应的防范
,,,,措施。
,差要求的设备应保持合理的高差。,,,
