建构筑物,方,相邻建筑物,规范,实际距,,
,,,,,结论,备注
名称,位,名称,要求m,离m,,
,东,8号楼（甲）,12,16.3,符合,
,,辅助用房（丙，1,,,,
,南,,,,符合,
,,,25,28.8,,
,,号楼）,,,,
3号楼（甲）,,,,,,墙外空地，次之新农
,西,围墙,5,10.3,符合,
,,,,,,甲类加氢车间72.9m
,,,,,,3号楼室外设备与之距
,北,仓库一（丙）,,,符合,
,,,12,12.1,,
,,,,,,离10.2m
,,固废仓库（丙）,12,17.7,符合,
,东,,,,,
,,发电机房,12,16.5,符合,
,,,,,,距7号楼室外设备
,,,,,符合安全,
,南,7号楼（甲）,12,12.1,,9.3m，6号楼相邻侧已
,,,,,生产要求,
6号楼（甲）,,,,,,设防火墙及防火门窗
,,油炉房,30,35,符合,明火点
,西,,,,,
,,综合仓库（丙）,12,16.3,符合,
,,,,,符合安全,厕所已设防火墙及防
,北,厕所,12,11,,
,,,,,生产要求,火门窗
,,公用工程车间二,,,,
,东,,12,20.23,符合,室外设备间距13.7m
,,（丙）,,,,
,,,,,,7号楼邻侧已设防火墙
,南,号楼（甲）,,,符合,
,,8,12,12.1,,
,,,,,,及防火门窗
7号楼（甲）,,,,,,
,西,仓库一（丙）,12,16.3,符合,
,,,,,,室外设备距6号楼
,,,,,符合安全,
,北,6号楼（甲）,12,12.1,,9.3m，6号楼相邻侧已
,,,,,生产要求,
,,,,,,设防火墙及防火门窗
,,公用工程车间一,,,,
,东,,12,20.2,符合,室外设备间距18.2m
,,（丙）,,,,
,,,,,,距9号楼室外设备
,,,,,符合安全,
,南,9号楼（甲）,12,12.1,,9.5m，8号楼邻侧已设
8号楼（甲类）,,,,,生产要求,
,,,,,,防火墙及防火门窗
,西,3号楼（甲）,12,16.3,符合,
,,,,,,7号楼邻侧已设防火墙
,北,号楼（甲）,,,符合,
,,7,12,12.1,,
,,,,,,及防火门窗
,,18号楼（丙，闲,,,,
,东,,,,符合,
,,,12,13.3,,
,,置）,,,,
,,,,,,距10号楼室外设备
,南,10号楼（甲）,12,12.1,符合,9.1m，9号楼邻侧已设
,,,,,,防火墙及防火门窗
9号楼（甲）,,,,,,
,,,,,符合安全,办公楼内东侧闲置
,西,办公楼,,,,9m
,,,25,17,,
,,,,,生产要求,的房间
,,,,,,室外设备距8号楼
,,,,,符合安全,
,北,8号楼（甲）,12,12.1,生产要求,9.5m，8号楼邻侧已设
,,,,,,防火墙及防火门窗
,,,,,,室外设备距辅助用楼
号楼（甲）,东,辅助用楼,12,12.8,符合,
10,,,,,,
,,,,,,10.8m
