序,,,,
,检查内容,检查标准,结果,备注
号,,,,
,室内氢气管道不应敷设在地沟中或直接,,,
,埋地，室外地沟敷设的管道，应有防止氢,,,
,,GB4962-2008,,室内氢气管道管架敷
51,气泄漏、积聚或窜入其他地沟的措施。埋,第4.4.8条,符合,设。
,地敷设的氢气管道埋深不宜小于0.7m。湿,,,
,氢管道应敷设在冰冻层以下。,,,
,在氢气管道与其相连的装置、设备之间应,,,
,安装止回阀，界区间阀门宜设置有效的隔,,,
,离措施，防止来自装置、设备的外部火焰,GB4962-2008,,
52,,,符合,安装有止回阀。
,回火至氢气系统。氢气作焊接、切割、燃,第4.4.9条,,
,料和保护气等使用时，每台（组）用氢设,,,
,备的支管上应设阻火器。,,,
,氢气储存容器应符合《压力容发全技术监,GB4962-2008,,
53,,,符合,设有氢气储罐。
,察规程》。氢气囊不宜做为氢气储存容器。,第6.1条,,
,氢气罐应安装放空阀、压力表、安全阀，,,,
,压力表每半年校验一次，安全阀一般应每,,,
,年至少校验一次，确保可靠。立式或卧式,,,
,,,,氢气罐的压力表、安
,,GB4962-2008,,
54,变压定容氢气罐安全阀宜设置在容器便,第6.4.1条,符合,全阀定期校验。
,于操作位置，且宜安装两台相同泄放量且,,,
,并联或切换的安全阀，以确保安全阀检验,,,
,时不影响罐内的氢气使用。,,,
,氢气罐放空阀、安全阀和置换排放管道系,,,
,,,,氢气罐放空阀、安全
,统均应设排放管，并应连接装有阻火器或,,,阀和置换排放管道系
,,GB4962-2008,,
55,蒸汽稀释、氮气密封、末端设置火炬燃烧,第6.4.2条,符合,统设排放管，连接阻
,的总排放管。惰性气体吹扫置换接口应参,,,火器。
,照6.2.4要求执行。,,,
,氢气罐应有静电接地设施。所有防静电设,GB4962-2008,,氢气罐设有防静电接
56,,,符合,
,施应定期检查、维修，并建立档案。,第6.4.8条,,地设施。
,氢气放排放管应采用金属材料，不得使用,GB4962-2008,,
57,,,符合,放空管为金属材料。
,塑料管或橡皮管。,第8.1条,,
,氢气排放管应设阻火器，阻火器应设在管,GB4962-2008,,氢气排放管有阻火
58,,,符合,
,口处。,第8.2条,,器。
,室内排放管的出口应高出屋顶2m以上。,,,
,,,,排放管出口设置在车
,,GB4962-2008,,
59,室外设备的排放管应高于附近有人员作,第8.4条,符合,间屋顶高处。
,业的最高设备2m以上。,,,
,,,,氢气使用前用氮气进
,氢气使用时，严禁与空气、氧气等气体混,GB16912-2008,,
60,合而形成爆炸气体。,第7.3.20条,符合,行反应釜置换，确保
,,,,无杂质。
,氢气所用的仪表及阀门等零部件的密封,,,
,,GB16912-2008,,
61,应良好，并定期检查，发现漏点应及时处,第7.3.21条,符合,氢气阀门良好。
,理。,,,
,室内氢气易泄漏和积聚处，应设置浓度报,GB16912-2008,,制氢、加氢装置区设
62,,,符合,
,警装置。,第7.3.22条,,有氢气浓度报警器。
,氢气系统应设置氮气置换吹扫接头，使用,GB16912-2008,,有氮气置换吹扫接
63,,,符合,
,时用软管与氮气管道连接，用毕拆除。,第7.3.23条,,头。
,接触氢气的阀门不应采用铜和铜合金材,GB16912-2008,,未采用铜和铜合金材
64,,,符合,
,料。,第7.3.25条,,质。
