序,,,,
,检查内容,检查依据,检查结果,结论
号,,,,
,生产设备及零部件必须有足够的强度、刚度、,,溶剂回收设备满,
1,,,,符合
,稳定性和可靠性。,,足要求。,
,生产设备在正常生产过程中，不向工作场所,,,
2,,,满足要求。,符合
,和大气排放超过国家标准的有害物质。,,,
3,不产生超过国家标准的噪声、振动。,,满足要求。,符合
,处理可燃气体、易燃和可燃液体的设备，其,,,
,,,为非燃烧材料。,符合
4,,,,
,基础应使用非燃烧材料。,,,
,生产设备上供人员作业的工作位置应安全可,,回收部位工作位,
5,,,,符合
,靠。,,置可靠。,
,进行操作、维护、调节的工作位置在坠落基,,设有梯子、栏杆、,
6,,,,符合
,准面2m以上时，必须设梯子、栏杆、平台等。,,平台等。,
7,必须保证作业点和操作区域有足够的照度。,,能保证。,符合
,生产设备内部需要经常观察的部位应备有照,,,
8,,,有照明装置。,符合
,明装置。,,,
,生产、使用、贮存易燃物质的生产设备，应,,,
,,,设压力表、温度,
,采取预防措施：实行密闭，严禁跑、冒、滴、,,,
9,漏，配置监测报警、防爆泄压装置，避免摩,GB5083-1999,计、气体检测报,符合
,,GB50016,警器等。,
,擦撞击。,,,
,工艺过程中能产生有害气体和其他毒物的设,GB50058-2014,,
,,GB12158-2006,,
10,备，应尽量采用自动加料、自动卸料和密闭,GB50057-2010,管道输送。,符合
,装置，设置吸收、净化装置。,,,
11,在可燃气体放空管道上设置阻火器。,,设有阻火器。,符合
,蒸馏系统应严格进行气密性和耐压试验检,,,
12,,,满足要求。,符合
,查，保证其密闭。,,,
,蒸馏设备应具有完备的温度、压力、流量仪,,,
,,,满足要求。,符合
13,,,,
,表装置。,,,
,系统应附设紧急放空管等安全装置，在出现,,,
,事故时能保证迅速排放掉反应器内物料，防,,设有放空管、阻,
14,,,,符合
,止发生爆炸事故。系统的排气管应通至厂房,,火器等。,
,外，管上应安装阻火器。,,,
,溶液蒸馏装置电气设备必须防爆，并有良好,,蒸馏装置电气设,
15,,,,符合
,的接地。,,备防爆。,
,溶剂蒸馏釜塔应设温度、压力、液位报警设,,设有温度、压力、,
16,,,,符合
,计。,,液位计。,
,存在易挥发的易燃液体的场所应按《石油化,,,
,,,设有可燃气体检,
17,工可燃气体和有毒气体检测报警设计标准》,,测报警装置。,符合
,GB/T50493-2019要求，安装可燃气体检测报,,,
