序,,,,
,检查内容,依据,检查结果,结论
号,,,,
,库房内配电线路需穿金属管或非燃塑料,《仓库防火安,,
,,,穿管保护。,符合
2.7,,,,
,管保护。,全管理规则》,,
,危险化学品储存仓库应有防雷防静电设,,,
,施，防雷防静电设施应经有资质的单位,,已设置防雷设施，经,符合
2.8,,GB50057-2010,检测合格。,
,进行检测。,,,
三、储,存安排,,,
,根据危险品性能分区、分类、分库贮存。,,,
,各类危险品不得与禁忌物料混合贮存。,,各仓库均进行了分,
3.1,如：易燃液体、遇湿易燃物品、易燃固,GB 15603-2022,隔，禁忌物料均分开,符合
,体不得与氧化剂混合贮存，具有还原性,,存放。,
,的氧化剂应单独存放。,,,
,根据各类商品的不同性质、库房条件、,,,
,,GB17914-2013,不同种类的物料分开,
3.2,灭火方法等进行严格的分区分类，分库,GB17915-2013,,符合
,,,存放。,
,存放。,GB17916-2013,,
,甲乙类桶装液体不宜露天存放，必须露,《仓库防火安,桶装液体未露天进行,
3.3,,,,符合
,天存放时，夏季应有降温措施。,全管理规则》,储存。,
四、储,存养护条件,,,
,,,仓库通风良好。甲类,
,贮存化学品的建筑必须安装通风设备，,,仓库等设有机修通风,符合
4.1,并注意设施的防护措施。,GB 15603-2022,,
,,,设施。,
,库房内设温湿度表（重点库可设自记温,,,
,湿度计），按规定时间观测和记录。根据,,,
,商品的不同性质，采取密封、通风和库,GB17914-2013,设有温湿度计，定期,
4.2,,GB17915-2013,,符合
,内吸潮相结合的温湿度管理办法，严格,,记录。,
,,GB17916-2013,,
,控制并保持库房内的温湿度，使之符合,,,
,相关要求。,,,
,禁止在化学危险品贮存区域内堆积可燃,,,
,,,满足要求。,符合
4.3,,GB15603-2022,,
,废弃物品。,,,
,按化学危险品特性，用化学的或物理的,,,
,方法处理废弃物品，不得任意抛弃、污,,有相应的安全管理制,符合
4.4,,GB15603-2022,度。,
,染环境。,,,
,各项操作不得使用能产生火花的工具，,GB17914-2013,,
4.5,,GB17915-2013,周边无热源或火源。,符合
,作业现场应远离热源与火源。,,,
,,GB17916-2013,,
,库房内不准分、改装，开箱、开桶、验,GB17914-2013,库房内不进行上述作,
4.6,,GB17915-2013,,符合
,收和质量检查等需在库房外进行。,,业。,
,,GB17916-2013,,
,入库商品必须附有生产许可证和产品检,GB17914-2013,入库商品附有生产许,
4.7,验合格证，进口商品必须附有中文安全,GB17915-2013,可证和产品检验合格,符合
,技术说明书。,GB17916-2013,证。,
,生产单位应在危险化学作业点，利用“安,《工作场所安,,
,,,各仓库内均设有安全,
4.8,全周知卡”或“安全标志”等方式，标明其,全使用化学品,,符合
,,,周知卡。,
,危险性。,规定》第9条,,
五、仓,库安全管理,,,
,,《危险化学品,有仓库保管员，负责,
5.1,危险化学品应当由专人负责管理。,,,符合
,,安全管理条例》,仓库安全管理工作。,
