序,,,检查
,检查内容,实际情况,
号,,,结果
,危险化学品单位应当建立完善重大危险源安全管,,
,,制定了重大危险源相关安全,
1,理规章制度和安全操作规程，并采取有效措施保,,符合
,,管理制度和操作规程。,
,证其得到执行。,,
,危险化学品单位应当明确重大危险源中关键装,,
,置、重点部位的责任人或者责任机构，并对重大,,
,危险源的安全生产状况进行定期检查，及时采取,设置了重大危险源关键装,
2,,,符合
,措施消除事故隐患。事故隐患难以立即排除的，,置、重点部位责任牌。,
,应当及时制定治理方案，落实整改措施、责任、,,
,资金、时限和预案。,,
,危险化学品单位应当对重大危险源的管理和操作,,
,,特种作业人员经主管部门培,
,岗位人员进行安全操作技能培训，使其了解重大,训并考核合格后上岗，其他,
3,危险源的危险特性，熟悉重大危险源安全管理规,,符合
,,从业人员经企业内部安全教,
,章制度和安全操作规程，掌握本岗位的安全操作,育培训。,
,技能和应急措施。,,
,危险化学品单位应当在重大危险源所在场所设置,,
,,重大危险源场所设有安全警,
4,明显的安全警示标志，写明紧急情况下的应急处,,符合
,,示标志。,
,置办法。,,
,危险化学品单位应当将重大危险源可能发生的事,,
,,重大危险源已报当地主管部,
5,故后果和应急措施等信息，以适当方式告知可能,门备案。,符合
,受影响的单位、区域及人员。,,
,危险化学品单位应当对辨识确认的重大危险源及,,
6,,建立了重大危险源档案。,符合
,时、逐项进行登记建档。,,
,设置重大危险源安全警示牌和重大危险源安全周,设置了重大危险源安全警示,
7,,,符合
,知牌。,牌和物质安全周知牌。,
,,厂区内设有重大危险源应急,
8,设置重大危险源应急救援资料箱。,,符合
,,救援资料箱。,
,危险化学品单位应当依法制定重大危险源事故应,,
,急预案，建立应急救援组织或者配备应急救援人,制定了重大危险源专项应急,
,,,符合
9,,,
,员，配备必要的防护装备及应急救援器材、设备、,预案，建立了应急救援组织。,
,物资，并保障其完好和方便使用。,,
,危险化学品单位应当制定重大危险源事故应急预,,
,案演练计划，并按照下列要求进行事故应急预案,,
,演练：,,
,（一）对重大危险源专项应急预案，每年至少进,,
,行一次；,定期对事故应急预案进行演,
10,（二）对重大危险源现场处置方案，每半年至少,练，演练后进行了总结，并,符合
,进行一次。,建立了总结报告。,
,应急预案演练结束后，危险化学品单位应当对应,,
,急预案演练效果进行评估，撰写应急预案演练评,,
,估报告，分析存在的问题，对应急预案提出修订,,
,意见，并及时修订完善。,,
,重大危险源的主要负责人，对所包保的重大危险,企业制定有《重大危险源安,
,源负有下列安全职责：,全包保责任制管理制度》，,
11,,,符合
,（一）组织建立重大危险源安全包保责任制并指,明确有主要负责人的安全职,
,定对重大危险源负有安全包保责任的技术负责,责，重大危险源安全监测监,
