救,,眼睛接触：,立即提起眼睑，用流动清水冲洗。
,,,脱离现场至空气新鲜处。必要时进行人工呼吸。就医。如果呼吸困难，
,,吸入：,
,,,给予吸氧。
,,食入：,误服者给饮大量温水，催吐，就医。
,,工程控制：,生产过程密闭，全面通风。
,,,空气中浓度超标时，应该佩带防毒口罩。必要时佩带自给式呼吸器。
,,,NIOSH/OSHA 2000ppm：连续供气式呼吸器、动力驱动装有机蒸气
,,,滤毒盒的空气净化呼吸器、装药剂盒防有机蒸气的全面罩呼吸器、装
,,,有机蒸气滤毒盒的空气净化式全面罩呼吸器(防毒面具)、自携式呼吸
,,呼吸系统防护：,
防,,,器、全面罩呼吸器。应急或有计划进入浓度未知区域，或处于立即危
护,,,及生命或健康的状况：自携式正压全面罩呼吸器、供气式正压全面罩
措,,,呼吸器辅之以辅助自携式正压呼吸器。逃生：装有机蒸气滤毒盒的空
施,,,气净化式全面罩呼吸器(防毒面具)、自携式逃生呼吸器。
,,眼睛防护：,一般不需特殊防护，高浓度接触时可戴化学安全防护眼镜。
,,防护服：,穿相应的防护服。
,,手防护：,戴防护手套。
,,其他：,工作现场严禁吸烟。工作后，淋浴更衣。注意个人清洁卫生。
,,,疏散泄漏污染区人员至安全区，禁止无关人员进入污染区，切断火源。
,,,建议应急处理人员戴自给式呼吸器，穿一般消防防护服。在确保安全
,,,情况下堵漏。喷水雾会减少蒸发，但不能降低泄漏物在受限制空间内
,,泄漏处置：,
,,,的易燃性。用活性炭或其它惰性材料吸收，收集运至废物处理场所处
,,,置。也可以用大量水冲洗，经稀释的洗水放入废水系统。如大量泄漏，
,,,利用围堤收容，然后收集、转移、回收或无害处理后废弃。
,,,丙酮
,,中文名：,丙酮；二甲基酮；阿西通；二甲酮；醋酮
,,英文名：,Acetone
,,分子式：,"C H O
3 6"
标,,分子量：,58.08
,,CAS号：,67-64-1
,,RTECS号：,AI3150000
识,,UN/CN号：,1090/31025
,危,险化学品序号：,137
,,特殊事项：,第三类易制毒；重大危险源临界量：500t
,,IMDG规则页码：,3102
,,,无色透明易流动液体，有芳香气味，极易挥发。有指甲油去除剂的
理,,外观与性状：,
,,,甜味。
化,,主要用途：,是基本的有机原料和低沸点溶剂。
,,熔点：,-94.6
性,,,
,,沸点：,56.5
质,相,对密度(水=1)：,0.80
,相,对密度(空气=1):,2.00
