工序,,,,
,物料名称,kg,物料名称,kg
,酰氯化物,475,溴化氢,635
,溴素,620,回收氯苯（含溴）,700
,甲醇（或回收甲醇）,650,氯苯母液,1000
,,,甲醇母液,650
,,,废气,70
,合计,3455,合计,3455
,溴化氯苯母液,1000,蒸馏氯苯液,900
,溴化甲醇洗液,650,蒸馏甲醇液,620
二次结晶,甲醇（或溴化回收甲醇）,260,回收母液,260
品岗位,氯苯（或溴化回收氯苯）,,废气,
,,35,,29
,,,二次结晶品,136
,合计,1945,合计,1945
,蒸馏氯苯液,900,回收氯苯,800
,片碱,250,分层水,500
,水,300,残渣,300
回收岗位,回收母液,260,甲醇氯苯混合液,320（一半）
,甲醇液,120,溴化回收甲醇,110
,分层水,200,,
,合计,2030,合计,2030
,甲醇（或甲氧基化回收,,,
,,1125,水解物甲苯层,1125
,甲醇）,,,
,氢氧化钾,725,甲醇水层,3700
,甲苯（或一次精制回收,,,
,,1220,废气,195
水解岗位,甲苯、分层回收甲苯）,,,
,双溴物（或双溴物二次,,甲氧基化收集甲醇甲,
,,400,,300
,结晶品）,,苯液,
,水,1850,/,/
,合计,5320,合计,5320
,水解物甲苯层,1125,10-甲氧基亚氨芪,150
精制岗位,,,,
,活性炭,12,滤渣,15
