序,设备,报警,设定值,联锁设,定值,
,,,,,,联锁对应动作
号,编号,（H,/L）,（HH/,LL）,
37,,H,45℃,HH,50℃,高联锁关闭进料切断阀（XV-P006-1）、关闭出料切断
38,,H,15KPa,HH,20KPa,阀（XV-V006-1）、关停输送泵P006。
39,,H,1.75m,HH,1.80m,
,V006,,,,,
40,,L,0.30m,LL,0.25m,高联锁关闭进料切断阀（XV-P006-1）、关停输送泵
,,,,,,P006；低联锁关闭出料切断阀（XV-V006-1）、关停输
41,,H,1.75m,HH,1.80m,送泵P006。
42,,L,0.30m,LL,0.25m,
43,,H,45℃,HH,50℃,高联锁关闭进料切断阀（XV-P007-1）、关闭出料切断
44,,H,15KPa,HH,20KPa,阀（XV-V007-1）、关停输送泵P007。
45,,H,2.25m,HH,2.30m,
,V007,,,,,
46,,L,0.20m,LL,0.15m,高联锁关闭进料切断阀（XV-P007-1）、关停输送泵
,,,,,,P007；低联锁关闭出料切断阀（XV-V007-1）、关停输
47,,H,2.25m,HH,2.30m,送泵P007。
48,,L,0.20m,LL,0.15m,
49,,H,45℃,HH,50℃,高联锁关闭进料切断阀（XV-P008-1）、关闭出料切断
50,,H,15KPa,HH,20KPa,阀（XV-V008-1）、关停输送泵P008。
51,,H,2.25m,HH,2.30m,
,V008,,,,,
52,,L,0.20m,LL,0.15m,高联锁关闭进料切断阀（XV-P008-1）、关停输送泵
,,,,,,P008；低联锁关闭出料切断阀（XV-V008-1）、关停输
53,,H,2.25m,HH,2.30m,送泵P008。
54,,L,0.20m,LL,0.15m,
55,,H,45℃,HH,50℃,高联锁关闭进料切断阀（XV-P009-1）、关闭出料切断
56,,H,15KPa,HH,20KPa,阀（XV-V009-1）、关停输送泵P009。
57,,H,2.25m,HH,2.30m,
,V009,,,,,
58,,L,0.20m,LL,0.15m,高联锁关闭进料切断阀（XV-P009-1）、关停输送泵
,,,,,,P009；低联锁关闭出料切断阀（XV-V009-1）、关停输
59,,H,2.25m,HH,2.30m,送泵P009。
60,,L,0.20m,LL,0.15m,
61,,H,45℃,HH,50℃,高联锁关闭进料切断阀（XV-P010-1）、关闭出料切断
62,,H,15KPa,HH,20KPa,阀（XV-V010-1）、关停输送泵P010。
63,,H,2.25m,HH,2.30m,
,V010,,,,,
64,,L,0.20m,LL,0.15m,高联锁关闭进料切断阀（XV-P010-1）、关停输送泵
,,,,,,P010；低联锁关闭出料切断阀（XV-V010-1）、关停输
65,,H,2.25m,HH,2.30m,送泵P010。
66,,L,0.20m,LL,0.15m,
67,,H,45℃,HH,50℃,高联锁关闭进料切断阀（XV-P011-1）、关闭出料切断
68,,H,15KPa,HH,20KPa,阀（XV-V011-1）、关停输送泵P011。
69,,H,2.25m,HH,2.30m,
,V011,,,,,
70,,L,0.20m,LL,0.15m,高联锁关闭进料切断阀（XV-P011-1）、关停输送泵
,,,,,,P011；低联锁关闭出料切断阀（XV-V011-1）、关停输
71,,H,2.25m,HH,2.30m,送泵P011。
72,,L,0.20m,LL,0.15m,
73,V012,H,45℃,HH,50℃,高联锁关闭进料切断阀（XV-P012-1）、关闭出料切断
74,,H,15KPa,HH,20KPa,阀（XV-V012-1）、关停输送泵P012。
