序 设备 报警,设定值,联锁,设定值,
,,,,联锁对应动作
号 编号 （H,/L）,（HH,/LL）,
75 H,2.25m,HH,2.30m,
76 L,0.20m,LL,0.15m,高联锁关闭进料切断阀（XV-P012-1）、关停输送泵
,,,,P012；低联锁关闭出料切断阀（XV-V012-1）、关停输
77 H,2.25m,HH,2.30m,送泵P012。
78 L,0.20m,LL,0.15m,
79 H,45℃,HH,50℃,高联锁关闭进料切断阀（XV-P013-1）、关闭出料切断
80 H,15KPa,HH,20KPa,阀（XV-V013-1）、关停输送泵P013。
81 H,2.25m,HH,2.30m,
V013,,,,
82 L,0.20m,LL,0.15m,高联锁关闭进料切断阀（XV-P013-1）、关停输送泵
,,,,P013；低联锁关闭出料切断阀（XV-V013-1）、关停输
83 H,2.25m,HH,2.30m,送泵P013。
84 L,0.20m,LL,0.15m,
85 H,45℃,HH,50℃,高联锁关闭进料切断阀（XV-P014-1）、关闭出料切断
86 H,15KPa,HH,20KPa,阀（XV-V014-1）、关停输送泵P014。
87 H,2.25m,HH,2.30m,
V014,,,,
88 L,0.20m,LL,0.15m,高联锁关闭进料切断阀（XV-P014-1）、关停输送泵
,,,,P014；低联锁关闭出料切断阀（XV-V014-1）、关停输
89 H,2.25m,HH,2.30m,送泵P014。
90 L,0.20m,LL,0.15m,
91 H,45℃,HH,50℃,高联锁关闭进料切断阀（XV-P015-1）、关闭出料切断
92 H,15KPa,HH,20KPa,阀（XV-V015-1）、关停输送泵P015。
93 H,2.25m,HH,2.30m,
V015,,,,
94 L,0.20m,LL,0.15m,高联锁关闭进料切断阀（XV-P015-1）、关停输送泵
,,,,P015；低联锁关闭出料切断阀（XV-V015-1）、关停输
95 H,2.25m,HH,2.30m,送泵P015。
96 L,0.20m,LL,0.15m,
97 H,45℃,HH,50℃,高联锁关闭进料切断阀（XV-P016-1）、关闭出料切断
98 H,15KPa,HH,20KPa,阀（XV-V016-1）、关停输送泵P016。
99 H,1.75m,HH,1.80m,
V016,,,,高联锁关闭进料切断阀（XV-P016-1）、关停液送泵
100 L,0.30m,LL,0.25m,P016；
101 H,1.75m,HH,1.80m,低联锁关闭出料切断阀（XV-V016-1）、关停输送泵
,,,,P016。
102 L,0.30m,LL,0.25m,
103 H,45℃,HH,50℃,高联锁关闭进料切断阀（XV-P017-1）、关闭出料切断
104 H,15KPa,HH,20KPa,阀（XV-V017-1）、关停输送泵P017。
105 H,1.75m,HH,1.80m,
V017,,,,高联锁关闭进料切断阀（XV-P017-1）、关停输送泵
106 L,0.30m,LL,0.25m,P017；
107 H,1.75m,HH,1.80m,低联锁关闭出料切断阀（XV-V017-1）、关停输送泵
,,,,P017。
108 L,0.30m,LL,0.25m,
14号楼三车间溴化DCS,,,,
1 H,103℃,HH,105℃,联锁关闭溴素切断阀（XV-R1011-1）、关闭蒸汽切断
,,,,阀（XV-R1011-2）、关闭夹套冷凝水切断阀
R101-1,,,,
2 H,0.2MPa,HH,0.4MPa,（XV-R1011-6）、打开夹套循环水进切断阀
,,,,（XV-R1011-4）、打开循环水回切断阀（XV-R1011-3）。
