,序号,气体浓度,探测器检测气体类,型,,配置地点,,备,注
,364,可,燃气体探测器,,9,#一层093一R,707旁,,
,365,可,燃气体探测器,,9#一,层093一E7,09一1旁,,
,366,可,燃气体探测器,,9,#一层093一X,701旁,,
,367,氧,气气体探测器,,9,#一层093一X,701旁,,
,368,可,燃气体探测器,,9#一,层091一R7,01一2旁,,
,369,可,燃气体探测器,,9,#二层093一R,706旁,,
,370,可,燃气体探测器,,,9#二层18756,一1旁,,
,371,可,燃气体探测器,,,9#二层1870,9旁,,
,372,可,燃气体探测器,,9,#二层091一R,303旁,,
,373,可,燃气体探测器,,9#二,层091一R7,01一2旁,,
,374,可,燃气体探测器,,9,#三层093一R,704旁,,
,375,可,燃气体探测器,,9#三,层093一R7,01一1旁,,
,376,可,燃气体探测器,,,9#三层18701,一1旁,,
,377,可,燃气体探测器,,,9#三层R30,3旁,,
,378,可,燃气体探测器,,,9#三层R101,一2旁,,
,379,可,燃气体探测器,,9#二,层093一R7,02一1旁,,
,380,可,燃气体探测器,,9,#一层091一T,303旁,,
,1.8,主要生产,设备,,,,,,
,1.8,.1 重点监,管工艺车间主,要工艺设,备,,,,
,,根据《关于,印发台州市开展,“守底线、,遏,事故”安全,生产攻坚战,行动方案,的通知》
,（台,安委〔2020,〕8号）的要求,：“对建成 9,年,以上（不,含本数）的,涉及复杂化,工工艺
,的危,险化学品生,产车间实施技术,改……降低,工,艺安全风,险，提升企,业本质安全,水平”
,本项,目涉及重点,监管工艺的车间,建成超过 9,年,，但其主,要设备设施,均定期更新,替换，
,未超,过9年。涉,及重点监管工艺,的车间的主,要,设备情况,如下。,,
,,,表1.8-1 重点,监管工艺车,间,主要工艺,设备一览表,,
序,,,,,,,,,
,,设备编号,设备名称,规格型号,,材质,出厂日期,使用日期,备注
号,,,,,,,,,
,,,,3号楼,制,氢,,,
1,,035-C101,罗茨风机,BK5006,,组合件,2015.07,2015.08,8年
2,,035-E101,过热器,19.4m³,,不锈钢,2021.05,2021.07,2年1个月
3,,035-T101,汽化塔,20.6㎡,,不锈钢,2021.10,2021.12,1年8个月
4,,035-T102,洗涤塔,0.28 m³,,不锈钢,2019.03,2019.07,4年1个月
5,,035-V103,循环液罐,1000L,,不锈钢,2023,2023.11,新购
6,,035-V105,纯化水罐,10m³,,不锈钢,2020.09,2020.09,2年11个月
