序名,设备名称,规格型号,安装位置,设备编号,备注
17,地槽,900*900*600,一楼,081-V701,不锈钢
18,储罐,800L,一楼,081-V702,不锈钢
19,不锈钢计量罐,1200L,一楼,081-V703-1,不锈钢
20,不锈钢计量罐,1200L,一楼,081-V703-2,不锈钢
21,不锈钢卧式储罐,1000L,一楼,081-V704,不锈钢
22,方箱,2000*1000*1000,一楼,081-V705,不锈钢
23,不锈钢立式储罐,500L,一楼,081-V707,不锈钢
24,脚踏式过滤器,300L,一楼,081-X101,不锈钢
25,过滤洗涤干燥机,GXG-1200,一楼,081-X103,不锈钢
26,平板全封闭离心机,PB1000,一楼,081-X701,不锈钢
27,反应釜,KR1000,二楼,081-R103,搪玻璃
28,反应釜,KR1000,二楼,081-R201,搪玻璃
29,计量罐,400L,二楼,081-V201,不锈钢
30,储罐,300L,二楼,081-V102-1,不锈钢
31,储罐,300L,二楼,081-V102-2,不锈钢
32,立式储罐,300L,二楼,081-V202,搪玻璃
33,搪玻璃反应锅,500L,三楼,081-R101,搪玻璃
34,反应釜,KR500,三楼,081-R102,搪玻璃
35,反应釜,2000L,三楼,081-R701,搪玻璃
36,反应釜,2000L,三楼,081-R702,搪玻璃
37,液碱滴加罐,300L,三楼,081-V706,不锈钢
38,喷涂储罐,200L,三楼,081-V302,
8号楼一车间（亚油）,,,,,
1,"不锈钢卧式带盘管
储罐",3000L,一楼,083-18107-1,不锈钢
2,储罐,1000L,一楼,083-18118,搪玻璃
3,袋式过滤器,YDJL-30,一楼,083-18109-5,不锈钢
4,立式储罐,700L,一楼,083-18131,不锈钢
5,储罐,300L,一楼,083-18133,不锈钢
6,喷涂储罐,1000L,一楼,083-18210-1,钢衬F40
7,喷涂储罐,1000L,一楼,083-18210-2,钢衬F40
8,反应釜,KR1000,一楼,083-18216-5,搪玻璃
9,反应釜,KR1000,一楼,083-18216-6,搪玻璃
10,接受罐,800L,一楼,083-18221-3,不锈钢
11,接受罐,800L,一楼,083-18221-4,不锈钢
12,带冷凝器接受罐,100L,一楼,083-18227,不锈钢
13,搪玻璃储罐,1000L,一楼,083-18303-4,搪玻璃
14,搪玻璃储罐,1000L,一楼,083-18303-5,搪玻璃
15,水槽,1500L,一楼,083-18504-3,不锈钢
